ID,Subject Code,Subject Name,Grade,Credits
21031A0101,R2032013,GEOTECHNICAL ENGINEERING-II,E,3
21031A0101,R203201D,TRAFFIC ENGINEERING,ABSENT,0
21031A0101,R203201K,REMOTE SENSING AND GIS,ABSENT,0
21031A0105,R2032013,GEOTECHNICAL ENGINEERING-II,C,3
21031A0116,R2032011,DESIGN AND DRAWING OF STEEL STRUCTURES,F,0
21031A0116,R2032012,WATER RESOURCE ENGINEERING,F,0
21031A0116,R2032013,GEOTECHNICAL ENGINEERING-II,F,0
21031A0116,R203201D,TRAFFIC ENGINEERING,E,3
21031A0116,R203201K,REMOTE SENSING AND GIS,F,0
21031A0119,R2032011,DESIGN AND DRAWING OF STEEL STRUCTURES,F,0
21031A0119,R2032012,WATER RESOURCE ENGINEERING,E,3
21031A0119,R2032013,GEOTECHNICAL ENGINEERING-II,F,0
21031A0119,R203201D,TRAFFIC ENGINEERING,E,3
21031A0119,R203201K,REMOTE SENSING AND GIS,F,0
21031A0120,R2032013,GEOTECHNICAL ENGINEERING-II,D,3
21031A0220,R2032021,MICROPROCESSORS AND MICROCONTROLLERS,D,3
21031A0220,R2032022,ELECTRICAL MEASUREMENTS AND INSTRUMENTAT,F,0
21031A0220,R2032023,POWER SYSTEM ANALYSIS,F,0
21031A0220,R2032024,ELECTRICAL MEASUREMENTS AND INSTRUMENTAT,D,1.5
21031A0220,R2032025,MICROPROCESSORS AND MICROCONTROLLERS LAB,D,1.5
21031A0220,R2032026,POWER SYSTEMS AND SIMULATION LAB,A,1.5
21031A0220,R2032027,SKILL ADVANCED COURSE: MACHINE LEARNING,B,2
21031A0220,R2032028,RESEARCH METHODOLOGY,COMPLE,0
21031A0220,R203202D,SWITCHGEAR AND PROTECTION,F,0
21031A0220,R203204E,BASICS OF SIGNALS AND SYSTEMS,E,3
21031A0233,R2032021,MICROPROCESSORS AND MICROCONTROLLERS,E,3
21031A0320,R203205F,PYTHON PROGRAMMING,C,3
21031A0326,R2032031,HEAT TRANSFER,F,0
21031A0401,R2032042,VLSI DESIGN,D,3
21031A0401,R203204A,MICROWAVE ENGINEERING,D,3
21031A0402,R2032043,DIGITAL SIGNAL PROCESSING,C,3
21031A0428,R203205K,COMPUTER NETWORKS,D,3
21031A0431,R2032042,VLSI DESIGN,E,3
21031A0431,R2032043,DIGITAL SIGNAL PROCESSING,D,3
21031A0431,R203205K,COMPUTER NETWORKS,E,3
21031A0433,R2032041,MICROPROCESSOR AND MICROCONTROLLERS,D,3
21031A0433,R2032042,VLSI DESIGN,E,3
21031A0433,R2032043,DIGITAL SIGNAL PROCESSING,D,3
21031A0433,R203205K,COMPUTER NETWORKS,C,3
21031A0452,R2032041,MICROPROCESSOR AND MICROCONTROLLERS,F,0
21031A0452,R2032043,DIGITAL SIGNAL PROCESSING,F,0
21031A0458,R2032041,MICROPROCESSOR AND MICROCONTROLLERS,F,0
21031A0458,R2032042,VLSI DESIGN,F,0
21031A0458,R2032043,DIGITAL SIGNAL PROCESSING,D,3
21031A0458,R203204A,MICROWAVE ENGINEERING,E,3
21031A0458,R203205K,COMPUTER NETWORKS,D,3
21031A0542,R2032053,CRYPTOGRAPHY AND NETWORK SECURITY,F,0
21031A0542,R203205C,OBJECT ORIENTED ANALYSIS AND DESIGN,ABSENT,0
22035A0214,R2032021,MICROPROCESSORS AND MICROCONTROLLERS,F,0
22035A0305,R203205F,PYTHON PROGRAMMING,B,3
