ID,Subject Code,Subject Name,Grade,Credits
21031A0101,R203201D,TRAFFIC ENGINEERING,ABSENT,0
21031A0101,R203201K,REMOTE SENSING AND GIS,ABSENT,0
21031A0116,R2032011,DESIGN AND DRAWING OF STEEL STRUCTURES,E,3
21031A0116,R2032012,WATER RESOURCE ENGINEERING,F,0
21031A0116,R2032013,GEOTECHNICAL ENGINEERING-II,F,0
21031A0116,R2032018,MANDATORY COURSE (AICTE) (EMPLOYABILITY,COMPLE,0
21031A0116,R203201K,REMOTE SENSING AND GIS,F,0
21031A0220,R2032022,ELECTRICAL MEASUREMENTS AND INSTRUMENTAT,F,0
21031A0220,R2032023,POWER SYSTEM ANALYSIS,F,0
21031A0220,R203202D,SWITCHGEAR AND PROTECTION,E,3
21031A0326,R2032031,HEAT TRANSFER,ABSENT,0
21031A0452,R2032041,MICROPROCESSOR AND MICROCONTROLLERS,C,3
21031A0452,R2032043,DIGITAL SIGNAL PROCESSING,D,3
21031A0458,R2032041,MICROPROCESSOR AND MICROCONTROLLERS,F,0
21031A0458,R2032042,VLSI DESIGN,ABSENT,0
21031A0542,R2032051,MACHINE LEARNING,ABSENT,0
21031A0542,R2032052,COMPILER DESIGN,ABSENT,0
22035A0214,R2032021,MICROPROCESSORS AND MICROCONTROLLERS,D,3
