ID,SGPA_1,Credits_1
24031A0101,0.0,8.5
24031A0102,0.0,5.5
24031A0103,7.66,20.5
24031A0104,5.78,20.5
24031A0105,6.71,20.5
24031A0106,6.63,20.5
24031A0108,0.0,17.5
24031A0109,0.0,11.5
24031A0110,0.0,17.5
24031A0111,0.0,17.5
24031A0112,7.49,20.5
24031A0113,0.0,14.5
24031A0115,0.0,8.5
24031A0116,6.22,20.5
24031A0117,7.61,20.5
24031A0118,0.0,14.5
24031A0119,6.12,20.5
24031A0120,0.0,14.5
24031A0121,5.73,20.5
24031A0122,0.0,5.5
24031A0123,6.9,20.5
24031A0125,0.0,4.0
24031A0126,0.0,17.5
24031A0128,7.76,20.5
24031A0129,0.0,17.5
24031A0130,5.78,20.5
24031A0131,0.0,14.5
24031A0132,6.2,20.5
24031A0133,0.0,17.5
24031A0134,0.0,17.5
24031A0135,7.1,20.5
24031A0136,7.32,20.5
24031A0137,6.49,20.5
24031A0201,0.0,16.5
24031A0202,0.0,7.5
24031A0203,7.1,19.5
24031A0204,0.0,16.5
24031A0205,6.0,19.5
24031A0206,0.0,13.5
24031A0207,6.92,19.5
24031A0208,6.44,19.5
24031A0209,6.56,19.5
24031A0210,0.0,16.5
24031A0211,0.0,10.5
24031A0212,0.0,4.5
24031A0213,6.36,19.5
24031A0214,6.69,19.5
24031A0215,6.79,19.5
24031A0216,6.44,19.5
24031A0217,0.0,3.5
24031A0218,0.0,16.5
24031A0219,6.46,19.5
24031A0220,7.44,19.5
24031A0221,0.0,16.5
24031A0222,7.23,19.5
24031A0223,7.97,19.5
24031A0224,6.62,19.5
24031A0225,0.0,15.5
24031A0226,7.9,19.5
24031A0227,0.0,16.5
24031A0228,6.41,19.5
24031A0229,7.74,19.5
24031A0230,7.59,19.5
24031A0231,6.95,19.5
24031A0232,0.0,16.5
24031A0234,5.9,19.5
24031A0235,0.0,16.5
24031A0236,7.82,19.5
24031A0237,0.0,13.5
24031A0239,6.77,19.5
24031A0240,7.54,19.5
24031A0241,8.05,19.5
24031A0242,0.0,16.5
24031A0243,0.0,16.5
24031A0244,0.0,13.5
24031A0245,7.62,19.5
24031A0246,6.15,19.5
24031A0247,7.18,19.5
24031A0248,0.0,16.5
24031A0249,0.0,10.5
24031A0250,7.95,19.5
24031A0251,0.0,14.5
24031A0252,6.82,19.5
24031A0254,0.0,13.5
24031A0255,7.21,19.5
24031A0256,6.85,19.5
24031A0301,0.0,8.5
24031A0302,7.07,20.5
24031A0303,0.0,8.5
24031A0304,6.93,20.5
24031A0305,7.66,20.5
24031A0306,0.0,17.5
24031A0307,6.34,20.5
24031A0308,0.0,11.5
24031A0309,0.0,14.5
24031A0310,0.0,14.5
24031A0311,7.9,20.5
24031A0312,6.73,20.5
24031A0313,0.0,14.5
24031A0314,0.0,17.5
24031A0315,6.34,20.5
24031A0316,6.27,20.5
24031A0317,0.0,5.5
24031A0318,0.0,14.5
24031A0319,0.0,14.5
24031A0320,0.0,11.5
24031A0321,7.56,20.5
24031A0322,0.0,17.5
24031A0323,0.0,8.5
24031A0324,6.39,20.5
24031A0325,7.73,20.5
24031A0326,0.0,8.5
24031A0327,0.0,11.5
24031A0328,0.0,14.5
24031A0329,0.0,5.5
24031A0330,7.54,20.5
24031A0331,0.0,14.5
24031A0332,6.07,20.5
24031A0334,6.59,20.5
24031A0335,5.44,20.5
24031A0336,0.0,17.5
24031A0337,0.0,17.5
24031A0338,0.0,17.5
24031A0341,5.88,20.5
24031A0342,0.0,14.5
24031A0343,0.0,8.5
24031A0344,0.0,5.5
24031A0345,6.41,20.5
24031A0346,7.17,20.5
24031A0347,6.1,20.5
24031A0401,0.0,14.5
24031A0402,7.39,20.5
24031A0403,0.0,17.5
24031A0404,7.02,20.5
24031A0405,8.66,20.5
24031A0406,0.0,17.5
24031A0407,7.24,20.5
24031A0408,7.41,20.5
24031A0409,7.34,20.5
24031A0410,7.22,20.5
