ID,SGPA_2,Credits_2
24031A0101,0.0,10.5
24031A0102,0.0,7.5
24031A0103,7.38,19.5
24031A0104,6.31,19.5
24031A0105,0.0,13.5
24031A0106,6.97,19.5
24031A0108,0.0,10.5
24031A0109,0.0,10.5
24031A0111,0.0,16.5
24031A0112,7.67,19.5
24031A0113,0.0,10.5
24031A0115,0.0,7.5
24031A0116,6.74,19.5
24031A0117,8.13,19.5
24031A0118,0.0,10.5
24031A0119,0.0,13.5
24031A0120,0.0,10.5
24031A0121,0.0,10.5
24031A0123,7.0,19.5
24031A0125,0.0,10.5
24031A0126,0.0,16.5
24031A0128,8.1,19.5
24031A0129,0.0,13.5
24031A0130,0.0,16.5
24031A0131,0.0,5.5
24031A0132,5.82,19.5
24031A0133,0.0,16.5
24031A0134,0.0,9.5
24031A0135,6.36,19.5
24031A0136,7.31,19.5
24031A0137,6.64,19.5
24031A0201,0.0,14.5
24031A0202,0.0,8.5
24031A0203,7.2,20.5
24031A0204,0.0,11.5
24031A0205,5.78,20.5
24031A0206,0.0,11.5
24031A0207,0.0,17.5
24031A0208,0.0,17.5
24031A0209,6.66,20.5
24031A0210,0.0,17.5
24031A0213,6.29,20.5
24031A0214,0.0,17.5
24031A0215,0.0,17.5
24031A0216,0.0,17.5
24031A0218,0.0,2.5
24031A0219,0.0,17.5
24031A0220,8.34,20.5
24031A0221,0.0,14.5
24031A0222,6.71,20.5
24031A0223,7.29,20.5
24031A0224,6.44,20.5
24031A0226,7.39,20.5
24031A0227,0.0,17.5
24031A0228,0.0,17.5
24031A0229,8.07,20.5
24031A0230,7.15,20.5
24031A0231,7.1,20.5
24031A0232,0.0,14.5
24031A0234,6.61,20.5
24031A0235,0.0,17.5
24031A0236,8.12,20.5
24031A0237,0.0,8.5
24031A0239,6.46,20.5
24031A0240,8.07,20.5
24031A0241,7.68,20.5
24031A0242,0.0,14.5
24031A0243,0.0,14.5
24031A0244,0.0,11.5
24031A0245,6.44,20.5
24031A0246,0.0,8.5
24031A0247,7.2,20.5
24031A0248,0.0,13.0
24031A0249,0.0,5.5
24031A0250,7.27,20.5
24031A0251,0.0,17.5
24031A0252,5.51,20.5
24031A0254,0.0,14.5
24031A0255,0.0,14.5
24031A0256,7.56,20.5
24031A0302,6.85,19.5
24031A0303,0.0,13.5
24031A0304,0.0,13.5
24031A0305,7.82,19.5
24031A0306,0.0,7.5
24031A0307,7.56,19.5
24031A0308,0.0,10.5
24031A0309,0.0,10.5
24031A0310,0.0,16.5
24031A0311,0.0,16.5
24031A0312,6.77,19.5
24031A0313,0.0,7.5
24031A0314,0.0,16.5
24031A0315,6.82,19.5
24031A0316,6.82,19.5
24031A0317,0.0,10.5
24031A0318,0.0,13.5
24031A0319,0.0,13.5
24031A0320,0.0,13.5
24031A0321,7.87,19.5
24031A0322,0.0,10.5
24031A0323,0.0,13.5
24031A0324,6.77,19.5
24031A0325,8.08,19.5
24031A0327,0.0,13.5
24031A0330,6.54,19.5
24031A0331,0.0,13.5
24031A0332,6.03,19.5
24031A0334,0.0,13.5
24031A0335,0.0,10.5
24031A0336,0.0,16.5
24031A0337,6.69,19.5
24031A0338,0.0,16.5
24031A0341,0.0,7.5
24031A0342,0.0,15.5
24031A0343,0.0,13.5
24031A0344,0.0,10.5
24031A0345,0.0,13.5
24031A0346,6.82,19.5
24031A0347,0.0,13.5
24031A0401,0.0,16.5
24031A0402,8.31,19.5
24031A0403,0.0,13.5
24031A0404,7.28,19.5
24031A0405,8.28,19.5
24031A0406,0.0,16.5
24031A0407,7.13,19.5
24031A0408,7.79,19.5
24031A0409,0.0,16.5
24031A0410,7.28,19.5
24031A0411,7.95,19.5
24031A0412,7.38,19.5
24031A0413,7.54,19.5
24031A0414,0.0,16.5
24031A0415,6.51,19.5
24031A0416,8.23,19.5
24031A0418,6.9,19.5
24031A0419,9.05,19.5
24031A0420,8.18,19.5
24031A0421,8.05,19.5
24031A0422,7.62,19.5
24031A0423,0.0,16.5
24031A0425,0.0,16.5
24031A0426,6.92,19.5
24031A0427,6.82,19.5
24031A0428,0.0,16.5
24031A0429,7.33,19.5
24031A0430,0.0,16.5
24031A0431,7.03,19.5
24031A0432,8.21,19.5
24031A0433,7.23,19.5
24031A0434,8.79,19.5
24031A0435,0.0,16.5
24031A0436,0.0,10.5
24031A0437,6.62,19.5
24031A0438,9.18,19.5
24031A0439,6.18,19.5
24031A0440,6.62,19.5
24031A0441,8.9,19.5
24031A0442,7.18,19.5
24031A0443,6.44,19.5
24031A0444,7.85,19.5
24031A0445,7.0,19.5
24031A0446,8.64,19.5
24031A0447,6.92,19.5
24031A0448,8.21,19.5
24031A0449,8.23,19.5
24031A0450,7.49,19.5
24031A0451,6.59,19.5
24031A0452,0.0,16.5
24031A0453,7.08,19.5
24031A0454,8.26,19.5
24031A0455,5.62,19.5
24031A0456,7.51,19.5
24031A0457,8.0,19.5
24031A0458,0.0,15.5
24031A0459,7.26,19.5
24031A0501,7.83,20.5
24031A0502,6.9,20.5
24031A0503,6.61,20.5
24031A0504,7.93,20.5
24031A0505,7.1,20.5
24031A0506,0.0,17.5
24031A0507,7.73,20.5
24031A0508,7.95,20.5
24031A0509,7.32,20.5
24031A0510,7.41,20.5
24031A0511,7.63,20.5
24031A0512,7.85,20.5
24031A0513,8.71,20.5
24031A0514,8.41,20.5
24031A0515,9.22,20.5
24031A0517,7.34,20.5
24031A0518,8.29,20.5
24031A0519,7.8,20.5
24031A0520,7.49,20.5
24031A0521,9.32,20.5
24031A0522,7.8,20.5
24031A0523,8.27,20.5
24031A0524,7.46,20.5
24031A0525,8.05,20.5
24031A0526,7.61,20.5
24031A0528,8.05,20.5
24031A0531,8.71,20.5
24031A0534,0.0,17.5
24031A0535,8.68,20.5
24031A0536,7.88,20.5
24031A0537,8.07,20.5
24031A0538,0.0,14.5
24031A0539,8.78,20.5
24031A0540,8.63,20.5
24031A0541,8.46,20.5
24031A0542,8.0,20.5
24031A0543,0.0,5.5
24031A0544,8.76,20.5
24031A0545,7.27,20.5
24031A0546,7.9,20.5
24031A0547,9.61,20.5
24031A0548,0.0,14.5
24031A0549,9.1,20.5
24031A0550,9.0,20.5
24031A0551,8.0,20.5
24031A0552,7.41,20.5
24031A0553,8.2,20.5
24031A0554,7.17,20.5
