ID,Subject Code,Subject Name,Grade,Credits
22031A0104,R2022011,COMPLEX VARIABLES AND STATISTICAL METHOD,F,0
22031A0105,R2022015,MANAGERIAL ECONOMICS & FINANCIAL ANALYSI,D,3
22031A0108,R2022011,COMPLEX VARIABLES AND STATISTICAL METHOD,D,3
22031A0108,R2022012,STRENGTH OF MATERIALS-II,F,0
22031A0108,R2022013,HYDRAULICS AND HYDRAULIC MACHINERY,F,0
22031A0114,R2022011,COMPLEX VARIABLES AND STATISTICAL METHOD,F,0
22031A0114,R2022013,HYDRAULICS AND HYDRAULIC MACHINERY,F,0
22031A0202,R2022022,DIGITAL ELECTRONICS,F,0
22031A0208,R2022021,PYTHON PROGRAMMING,E,3
22031A0213,R2022022,DIGITAL ELECTRONICS,E,3
22031A0219,R2022021,PYTHON PROGRAMMING,E,3
22031A0219,R2022023,POWER SYSTEM-I,F,0
22031A0219,R2022024,INDUCTION AND SYNCHRONOUS MACHINES,F,0
22031A0223,R2022022,DIGITAL ELECTRONICS,ABSENT,0
22031A0228,R2022024,INDUCTION AND SYNCHRONOUS MACHINES,E,3
22031A0306,R2022033,THERMAL ENGINEERING-I,F,0
22031A0310,R2022032,DYNAMICS OF MACHINERY,E,3
22031A0310,R2022033,THERMAL ENGINEERING-I,E,3
22031A0311,R2022011,COMPLEX VARIABLES AND STATISTICAL METHOD,E,3
22031A0311,R2022032,DYNAMICS OF MACHINERY,E,3
22031A0402,R2022041,ELECTRONIC CIRCUIT ANALYSIS,F,0
22031A0402,R2022043,ANALOG COMMUNICATIONS,F,0
22031A0402,R2022044,LINEAR CONTROL SYSTEMS,F,0
22031A0405,R2022043,ANALOG COMMUNICATIONS,F,0
22031A0405,R2022044,LINEAR CONTROL SYSTEMS,E,3
22031A0417,R2022041,ELECTRONIC CIRCUIT ANALYSIS,E,3
22031A0417,R2022043,ANALOG COMMUNICATIONS,D,3
22031A0418,R2022043,ANALOG COMMUNICATIONS,E,3
