ID,Subject Code,Subject Name,Grade,Credits
21031A0101,R2021011,MATHEMATICS-III,F,0
21031A0105,R2021011,MATHEMATICS-III,C,3
21031A0105,R2021012,STRENGTH OF MATERIALS-I,F,0
21031A0113,R2021011,MATHEMATICS-III,D,3
21031A0116,R2021011,MATHEMATICS-III,E,3
21031A0116,R2021012,STRENGTH OF MATERIALS-I,F,0
21031A0116,R2021013,FLUID MECHANICS,F,0
21031A0119,R2021011,MATHEMATICS-III,F,0
21031A0128,R2021011,MATHEMATICS-III,F,0
21031A0128,R2021012,STRENGTH OF MATERIALS-I,ABSENT,0
21031A0128,R2021013,FLUID MECHANICS,ABSENT,0
21031A0128,R2021014,SURVEYING AND GEOMETRICS,ABSENT,0
21031A0128,R2021015,HIGHWAY ENGINEERING,ABSENT,0
21031A0134,R2021011,MATHEMATICS-III,F,0
21031A0220,R2021021,MATHEMATICS-IV,E,3
21031A0220,R2021022,ELECTRONIC DEVICES AND CIRCUITS,F,0
21031A0220,R2021023,ELECTRICAL CIRCUIT ANALYSIS-II,E,3
21031A0220,R2021024,DC MACHINES AND TRANSFORMERS,F,0
21031A0305,R2021011,MATHEMATICS-III,F,0
21031A0314,R2021011,MATHEMATICS-III,F,0
21031A0320,R2021011,MATHEMATICS-III,ABSENT,0
21031A0326,R2021011,MATHEMATICS-III,F,0
21031A0330,R2021011,MATHEMATICS-III,F,0
21031A0401,R2021044,RANDOM VARIABLES AND STOCHASTIC PROCESSE,C,3
21031A0428,R2021011,MATHEMATICS-III,F,0
21031A0428,R2021041,ELECTRONIC DEVICES AND CIRCUITS,F,0
21031A0433,R2021011,MATHEMATICS-III,F,0
21031A0433,R2021043,SIGNALS AND SYSTEMS,E,3
21031A0452,R2021043,SIGNALS AND SYSTEMS,D,3
21031A0458,R2021041,ELECTRONIC DEVICES AND CIRCUITS,F,0
21031A0458,R2021043,SIGNALS AND SYSTEMS,F,0
21031A0458,R2021044,RANDOM VARIABLES AND STOCHASTIC PROCESSE,ABSENT,0
21031A0460,R2021011,MATHEMATICS-III,D,3
21031A0501,R2021011,MATHEMATICS-III,D,3
21031A0542,R2021011,MATHEMATICS-III,F,0
21031A0542,R2021052,OPERATING SYSTEMS,F,0
21031A0562,R2021011,MATHEMATICS-III,F,0
21031A0562,R2021054,MATHEMATICAL FOUNDATIONS OF COMPUTER SCI,F,0
22035A0123,R2021011,MATHEMATICS-III,B,3
22035A0214,R2021021,MATHEMATICS-IV,F,0
22035A0305,R2021011,MATHEMATICS-III,F,0
