ID,Subject Code,Subject  Name,Grade,Credits
21031A0101,R201101,MATHEMATICS - I,ABSENT,0
21031A0101,R201102,COMMUNICATIVE ENGLISH,E,3
21031A0101,R201103,ENGINEERING PHYSICS,F,0
21031A0102,R201101,MATHEMATICS - I,F,0
21031A0105,R201101,MATHEMATICS - I,F,0
21031A0105,R201103,ENGINEERING PHYSICS,F,0
21031A0105,R201105,ENGINEERING GEOLOGY (INTEGRATED THEORY),D,2
21031A0105,R201105L,ENGINEERING GEOLOGY (INTEGRATED LAB),B,1
21031A0107,R201101,MATHEMATICS - I,F,0
21031A0108,R201101,MATHEMATICS - I,F,0
21031A0108,R201103,ENGINEERING PHYSICS,F,0
21031A0111,R201101,MATHEMATICS - I,E,3
21031A0115,R201101,MATHEMATICS - I,F,0
21031A0116,R201101,MATHEMATICS - I,F,0
21031A0116,R201103,ENGINEERING PHYSICS,F,0
21031A0116,R201104,ENGINEERING DRAWING,F,0
21031A0116,R201105,ENGINEERING GEOLOGY (INTEGRATED THEORY),F,0
21031A0116,R201105L,ENGINEERING GEOLOGY (INTEGRATED LAB),F,0
21031A0118,R201102,COMMUNICATIVE ENGLISH,E,3
21031A0118,R201103,ENGINEERING PHYSICS,E,3
21031A0120,R201101,MATHEMATICS - I,F,0
21031A0120,R201103,ENGINEERING PHYSICS,F,0
21031A0120,R201104,ENGINEERING DRAWING,F,0
21031A0122,R201103,ENGINEERING PHYSICS,D,3
21031A0123,R201101,MATHEMATICS - I,F,0
21031A0127,R201101,MATHEMATICS - I,F,0
21031A0128,R201101,MATHEMATICS - I,ABSENT,0
21031A0128,R201102,COMMUNICATIVE ENGLISH,F,0
21031A0128,R201103,ENGINEERING PHYSICS,F,0
21031A0134,R201101,MATHEMATICS - I,F,0
21031A0135,R201101,MATHEMATICS - I,F,0
21031A0136,R201101,MATHEMATICS - I,F,0
21031A0202,R201101,MATHEMATICS - I,F,0
21031A0204,R201109,MATHEMATICS - II,E,3
21031A0209,R201101,MATHEMATICS - I,F,0
21031A0216,R201101,MATHEMATICS - I,F,0
21031A0216,R201109,MATHEMATICS - II,F,0
21031A0305,R201110,PROGRAMMING FOR PROBLEM SOLVING USING C,D,3
21031A0309,R201103,ENGINEERING PHYSICS,F,0
21031A0312,R201101,MATHEMATICS - I,ABSENT,0
21031A0312,R201103,ENGINEERING PHYSICS,ABSENT,0
21031A0312,R201110,PROGRAMMING FOR PROBLEM SOLVING USING C,ABSENT,0
21031A0315,R201101,MATHEMATICS - I,F,0
21031A0316,R201103,ENGINEERING PHYSICS,F,0
21031A0316,R201110,PROGRAMMING FOR PROBLEM SOLVING USING C,E,3
21031A0317,R201101,MATHEMATICS - I,F,0
21031A0317,R201103,ENGINEERING PHYSICS,F,0
21031A0317,R201110,PROGRAMMING FOR PROBLEM SOLVING USING C,F,0
21031A0320,R201101,MATHEMATICS - I,F,0
21031A0320,R201103,ENGINEERING PHYSICS,F,0
21031A0321,R201101,MATHEMATICS - I,F,0
21031A0321,R201103,ENGINEERING PHYSICS,F,0
21031A0321,R201104,ENGINEERING DRAWING,F,0
21031A0324,R201103,ENGINEERING PHYSICS,F,0
21031A0325,R201101,MATHEMATICS - I,F,0
21031A0325,R201103,ENGINEERING PHYSICS,F,0
21031A0325,R201110,PROGRAMMING FOR PROBLEM SOLVING USING C,E,3
21031A0330,R201101,MATHEMATICS - I,F,0
21031A0330,R201103,ENGINEERING PHYSICS,ABSENT,0
21031A0401,R201101,MATHEMATICS - I,F,0
21031A0401,R201115,APPLIED CHEMISTRY,E,3
21031A0402,R201101,MATHEMATICS - I,F,0
21031A0406,R201104,ENGINEERING DRAWING,E,3
21031A0419,R201101,MATHEMATICS - I,F,0
21031A0431,R201110,PROGRAMMING FOR PROBLEM SOLVING USING C,E,3
21031A0505,R201117,APPLIED PHYSICS,F,0
21031A0542,R201101,MATHEMATICS - I,F,0
21031A0542,R201102,COMMUNICATIVE ENGLISH,E,3
21031A0542,R201110,PROGRAMMING FOR PROBLEM SOLVING USING C,F,0
21031A0542,R201117,APPLIED PHYSICS,F,0
21031A0545,R201117,APPLIED PHYSICS,F,0
21031A0555,R201117,APPLIED PHYSICS,F,0
21031A0560,R201117,APPLIED PHYSICS,F,0
21031A0562,R201117,APPLIED PHYSICS,ABSENT,0
