ID,Subject,Grade,Credits
21031A0101,MATHEMATICS - I,F,0
21031A0101,COMMUNICATIVE ENGLISH,F,0
21031A0101,ENGINEERING PHYSICS,F,0
21031A0102,MATHEMATICS - I,F,0
21031A0105,MATHEMATICS - I,F,0
21031A0105,ENGINEERING PHYSICS,F,0
21031A0105,ENGINEERING GEOLOGY (INTEGRATED THEORY),F,0
21031A0105,ENGINEERING GEOLOGY (INTEGRATED LAB),F,0
21031A0106,MATHEMATICS - I,C,3
21031A0107,MATHEMATICS - I,F,0
21031A0108,MATHEMATICS - I,F,0
21031A0108,ENGINEERING PHYSICS,F,0
21031A0108,ENGINEERING GEOLOGY (INTEGRATED THEORY),F,0
21031A0110,ENGINEERING PHYSICS,F,0
21031A0111,MATHEMATICS - I,F,0
21031A0111,ENGINEERING GEOLOGY (INTEGRATED THEORY),F,0
21031A0112,MATHEMATICS - I,D,3
21031A0112,ENGINEERING PHYSICS,F,0
21031A0112,ENGINEERING GEOLOGY (INTEGRATED THEORY),E,2
21031A0112,ENGINEERING GEOLOGY (INTEGRATED LAB),A,1
21031A0112,ENGLISH COMMUNICATION SKILLS LABORATORY,C,1.5
21031A0113,ENGINEERING PHYSICS,F,0
21031A0115,MATHEMATICS - I,F,0
21031A0115,ENGINEERING GEOLOGY (INTEGRATED THEORY),F,0
21031A0115,ENGINEERING GEOLOGY (INTEGRATED LAB),F,0
21031A0116,MATHEMATICS - I,F,0
21031A0116,ENGINEERING PHYSICS,F,0
21031A0116,ENGINEERING DRAWING,F,0
21031A0116,ENGINEERING GEOLOGY (INTEGRATED THEORY),F,0
21031A0116,ENGINEERING GEOLOGY (INTEGRATED LAB),F,0
21031A0117,ENGINEERING GEOLOGY (INTEGRATED LAB),ABSENT,0
21031A0118,COMMUNICATIVE ENGLISH,F,0
21031A0118,ENGINEERING PHYSICS,F,0
21031A0118,ENGLISH COMMUNICATION SKILLS LABORATORY,C,1.5
21031A0120,MATHEMATICS - I,F,0
21031A0120,ENGINEERING PHYSICS,F,0
21031A0120,ENGINEERING DRAWING,F,0
21031A0120,ENGINEERING GEOLOGY (INTEGRATED THEORY),F,0
21031A0120,ENGINEERING GEOLOGY (INTEGRATED LAB),F,0
21031A0120,ENGLISH COMMUNICATION SKILLS LABORATORY,C,1.5
21031A0122,ENGINEERING PHYSICS,F,0
21031A0122,ENGINEERING GEOLOGY (INTEGRATED THEORY),E,2
21031A0122,ENGINEERING GEOLOGY (INTEGRATED LAB),A+,1
21031A0122,ENGLISH COMMUNICATION SKILLS LABORATORY,D,1.5
21031A0123,MATHEMATICS - I,F,0
21031A0123,ENGINEERING DRAWING,D,3
21031A0127,MATHEMATICS - I,F,0
21031A0127,ENGINEERING GEOLOGY (INTEGRATED THEORY),E,2
21031A0127,ENGINEERING GEOLOGY (INTEGRATED LAB),A,1
21031A0128,MATHEMATICS - I,ABSENT,0
21031A0128,COMMUNICATIVE ENGLISH,F,0
21031A0128,ENGINEERING PHYSICS,F,0
21031A0128,ENGINEERING DRAWING,E,3
21031A0128,ENGINEERING GEOLOGY (INTEGRATED THEORY),E,2
21031A0128,ENGINEERING GEOLOGY (INTEGRATED LAB),A+,1
21031A0128,ENGLISH COMMUNICATION SKILLS LABORATORY,D,1.5
21031A0130,COMMUNICATIVE ENGLISH,D,3
21031A0131,MATHEMATICS - I,F,0
21031A0131,COMMUNICATIVE ENGLISH,F,0
21031A0131,ENGINEERING DRAWING,F,0
21031A0133,MATHEMATICS - I,D,3
21031A0133,ENGINEERING GEOLOGY (INTEGRATED THEORY),F,0
21031A0134,MATHEMATICS - I,F,0
21031A0134,COMMUNICATIVE ENGLISH,F,0
21031A0134,ENGINEERING GEOLOGY (INTEGRATED THEORY),F,0
21031A0134,ENGINEERING GEOLOGY (INTEGRATED LAB),F,0
21031A0134,ENGLISH COMMUNICATION SKILLS LABORATORY,C,1.5
21031A0135,MATHEMATICS - I,F,0
21031A0135,ENGINEERING PHYSICS,E,3
21031A0135,ENGINEERING DRAWING,D,3
21031A0136,MATHEMATICS - I,F,0
21031A0136,ENGINEERING DRAWING,C,3
21031A0136,ENGINEERING GEOLOGY (INTEGRATED THEORY),F,0
21031A0136,ENGINEERING GEOLOGY (INTEGRATED LAB),F,0
21031A0136,ENGLISH COMMUNICATION SKILLS LABORATORY,C,1.5
21031A0138,ENGINEERING PHYSICS,E,3
21031A0139,MATHEMATICS - I,F,0
21031A0139,ENGINEERING GEOLOGY (INTEGRATED THEORY),F,0
21031A0202,MATHEMATICS - I,F,0
21031A0204,MATHEMATICS - I,D,3
21031A0204,MATHEMATICS - II,F,0
21031A0209,MATHEMATICS - I,F,0
21031A0209,MATHEMATICS - II,D,3
21031A0210,MATHEMATICS - I,E,3
21031A0215,ENGINEERING DRAWING & DESIGN,F,0
21031A0217,MATHEMATICS - II,F,0
21031A0217,PROGRAMMING FOR PROBLEM SOLVING USING C,F,0
21031A0217,ENGINEERING DRAWING & DESIGN,F,0
