ID,Subject Code,Subject  Name,Grade,Credits
22031A0440,R201102,COMMUNICATIVE ENGLISH,E,3
22031A0440,R201110,PROGRAMMING FOR PROBLEM SOLVING USING C,F,0
22031A0441,R201101,MATHEMATICS - I,F,0
22031A0441,R201115,APPLIED CHEMISTRY,F,0
22031A0442,R201101,MATHEMATICS - I,F,0
22031A0442,R201110,PROGRAMMING FOR PROBLEM SOLVING USING C,F,0
22031A0443,R201110,PROGRAMMING FOR PROBLEM SOLVING USING C,F,0
22031A0443,R201115,APPLIED CHEMISTRY,F,0
22031A0448,R201104,ENGINEERING DRAWING,F,0
22031A0449,R201101,MATHEMATICS - I,F,0
22031A0449,R201115,APPLIED CHEMISTRY,F,0
22031A0454,R201101,MATHEMATICS - I,F,0
22031A0454,R201110,PROGRAMMING FOR PROBLEM SOLVING USING C,F,0
22031A0454,R201115,APPLIED CHEMISTRY,F,0
22031A0456,R201101,MATHEMATICS - I,F,0
22031A0458,R201115,APPLIED CHEMISTRY,F,0
22031A0460,R201104,ENGINEERING DRAWING,E,3
22031A0460,R201110,PROGRAMMING FOR PROBLEM SOLVING USING C,F,0
22031A0501,R201110,PROGRAMMING FOR PROBLEM SOLVING USING C,D,3
22031A0508,R201117,APPLIED PHYSICS,F,0
22031A0512,R201101,MATHEMATICS - I,F,0
22031A0512,R201110,PROGRAMMING FOR PROBLEM SOLVING USING C,E,3
22031A0512,R201117,APPLIED PHYSICS,F,0
22031A0514,R201110,PROGRAMMING FOR PROBLEM SOLVING USING C,F,0
22031A0514,R201117,APPLIED PHYSICS,F,0
22031A0515,R201110,PROGRAMMING FOR PROBLEM SOLVING USING C,F,0
22031A0516,R201101,MATHEMATICS - I,F,0
22031A0516,R201102,COMMUNICATIVE ENGLISH,E,3
22031A0516,R201110,PROGRAMMING FOR PROBLEM SOLVING USING C,E,3
22031A0516,R201117,APPLIED PHYSICS,F,0
22031A0519,R201110,PROGRAMMING FOR PROBLEM SOLVING USING C,E,3
22031A0522,R201110,PROGRAMMING FOR PROBLEM SOLVING USING C,E,3
22031A0522,R201117,APPLIED PHYSICS,F,0
22031A0523,R201110,PROGRAMMING FOR PROBLEM SOLVING USING C,F,0
22031A0523,R201117,APPLIED PHYSICS,F,0
22031A0526,R201110,PROGRAMMING FOR PROBLEM SOLVING USING C,C,3
22031A0526,R201117,APPLIED PHYSICS,F,0
22031A0533,R201117,APPLIED PHYSICS,F,0
22031A0541,R201117,APPLIED PHYSICS,D,3
22031A0542,R201101,MATHEMATICS - I,F,0
22031A0542,R201110,PROGRAMMING FOR PROBLEM SOLVING USING C,E,3
22031A0542,R201117,APPLIED PHYSICS,F,0
22031A0549,R201101,MATHEMATICS - I,F,0
22031A0549,R201110,PROGRAMMING FOR PROBLEM SOLVING USING C,D,3
22031A0550,R201110,PROGRAMMING FOR PROBLEM SOLVING USING C,D,3
22031A0555,R201101,MATHEMATICS - I,F,0
22031A0555,R201117,APPLIED PHYSICS,F,0
22031A0556,R201117,APPLIED PHYSICS,F,0
22031A0557,R201117,APPLIED PHYSICS,F,0
22031A0558,R201117,APPLIED PHYSICS,F,0
