ID,Subject Code,Subject Name,Grade,Credits
23031A0104,R2321014,STRENGTHOF MATERIALS,F,0
23031A0105,R2321011,NUMERICAL TECHNIQUES AND STATISTICAL MET,F,0
23031A0105,R2321013,SURVEYING,F,0
23031A0105,R2321014,STRENGTHOF MATERIALS,F,0
23031A0105,R2321015,FLUID MECHANICS,F,0
23031A0112,R2321015,FLUID MECHANICS,D,3
23031A0116,R2321014,STRENGTHOF MATERIALS,D,3
23031A0117,R2321014,STRENGTHOF MATERIALS,E,3
23031A0124,R2321014,STRENGTHOF MATERIALS,F,0
23031A0130,R2321011,NUMERICAL TECHNIQUES AND STATISTICAL MET,F,0
23031A0130,R2321014,STRENGTHOF MATERIALS,F,0
23031A0130,R2321015,FLUID MECHANICS,F,0
23031A0201,R2321021,COMPLEX VARIABLES &NUMERICAL METHODS,F,0
23031A0204,R2321012,UNIVERSAL HUMAN VALUES-UNDERSTANDING HAR,F,0
23031A0204,R2321019,ENVIRONMENTAL SCIENCE(NON CREDITS SUBJEC,COMPLE,0
23031A0204,R2321021,COMPLEX VARIABLES &NUMERICAL METHODS,F,0
23031A0204,R2321022,ELECTRO MAGNETIC FIELD THEORY,F,0
23031A0204,R2321023,ELECTRICAL CIRCUIT ANALYSIS-II,F,0
23031A0204,R2321024,DC MACHINES & TRANSFORMERS,F,0
23031A0204,R2321025,ELECTRICAL CIRCUIT ANALYSIS-II AND SIMUL,F,0
23031A0204,R2321026,DCMACHINES&TRANSFORMERS LAB,D,1.5
23031A0204,R2321027,DATA STRUCTURES LAB,C,2
23031A0206,R2321021,COMPLEX VARIABLES &NUMERICAL METHODS,C,3
23031A0208,R2321021,COMPLEX VARIABLES &NUMERICAL METHODS,F,0
23031A0208,R2321022,ELECTRO MAGNETIC FIELD THEORY,F,0
23031A0209,R2321021,COMPLEX VARIABLES &NUMERICAL METHODS,F,0
23031A0209,R2321023,ELECTRICAL CIRCUIT ANALYSIS-II,D,3
23031A0217,R2321021,COMPLEX VARIABLES &NUMERICAL METHODS,F,0
23031A0218,R2321021,COMPLEX VARIABLES &NUMERICAL METHODS,F,0
23031A0218,R2321023,ELECTRICAL CIRCUIT ANALYSIS-II,C,3
23031A0219,R2321021,COMPLEX VARIABLES &NUMERICAL METHODS,ABSENT,0
23031A0219,R2321022,ELECTRO MAGNETIC FIELD THEORY,F,0
23031A0219,R2321024,DC MACHINES & TRANSFORMERS,ABSENT,0
23031A0222,R2321023,ELECTRICAL CIRCUIT ANALYSIS-II,C,3
23031A0224,R2321021,COMPLEX VARIABLES &NUMERICAL METHODS,D,3
23031A0232,R2321021,COMPLEX VARIABLES &NUMERICAL METHODS,F,0
23031A0232,R2321022,ELECTRO MAGNETIC FIELD THEORY,ABSENT,0
23031A0232,R2321023,ELECTRICAL CIRCUIT ANALYSIS-II,D,3
23031A0232,R2321025,ELECTRICAL CIRCUIT ANALYSIS-II AND SIMUL,E,1.5
23031A0234,R2321021,COMPLEX VARIABLES &NUMERICAL METHODS,B,3
23031A0234,R2321022,ELECTRO MAGNETIC FIELD THEORY,E,3
23031A0238,R2321021,COMPLEX VARIABLES &NUMERICAL METHODS,ABSENT,0
23031A0238,R2321022,ELECTRO MAGNETIC FIELD THEORY,ABSENT,0
23031A0238,R2321023,ELECTRICAL CIRCUIT ANALYSIS-II,ABSENT,0
23031A0242,R2321021,COMPLEX VARIABLES &NUMERICAL METHODS,F,0
23031A0243,R2321021,COMPLEX VARIABLES &NUMERICAL METHODS,B,3
23031A0244,R2321021,COMPLEX VARIABLES &NUMERICAL METHODS,E,3
23031A0245,R2321024,DC MACHINES & TRANSFORMERS,E,3
23031A0246,R2321021,COMPLEX VARIABLES &NUMERICAL METHODS,C,3
23031A0247,R2321021,COMPLEX VARIABLES &NUMERICAL METHODS,E,3
