ID,SGPA_7,Credits_7
22031A0101,6.87,23.0
22031A0102,6.87,23.0
22031A0104,6.35,23.0
22031A0105,6.87,23.0
22031A0106,0.0,20.0
22031A0107,6.87,23.0
22031A0108,6.74,23.0
22031A0109,7.0,23.0
22031A0110,7.0,23.0
22031A0112,0.0,20.0
22031A0114,0.0,20.0
22031A0115,5.96,23.0
22031A0116,0.0,14.0
22031A0117,0.0,8.0
22031A0201,6.78,23.0
22031A0202,0.0,20.0
22031A0203,0.0,11.0
22031A0205,6.91,23.0
22031A0207,6.52,23.0
22031A0208,0.0,20.0
22031A0210,0.0,20.0
22031A0212,0.0,20.0
22031A0213,0.0,20.0
22031A0214,0.0,20.0
22031A0215,7.39,23.0
22031A0217,7.39,23.0
22031A0218,7.65,23.0
22031A0219,0.0,20.0
22031A0220,6.87,23.0
22031A0222,7.43,23.0
22031A0223,0.0,20.0
22031A0224,0.0,14.0
22031A0225,7.39,23.0
22031A0226,6.78,23.0
22031A0227,6.78,23.0
22031A0228,6.65,23.0
22031A0301,7.0,23.0
22031A0303,7.26,23.0
22031A0304,7.04,23.0
22031A0305,6.65,23.0
22031A0306,6.65,23.0
22031A0307,7.52,23.0
22031A0308,0.0,17.0
22031A0309,6.65,23.0
22031A0310,7.04,23.0
22031A0311,7.3,23.0
22031A0312,7.17,23.0
22031A0313,6.78,23.0
22031A0401,7.39,23.0
22031A0402,0.0,20.0
22031A0403,7.65,23.0
22031A0404,6.3,23.0
22031A0405,0.0,20.0
22031A0406,8.12,24.0
22031A0408,8.12,24.0
22031A0409,7.7,23.0
22031A0410,8.3,23.0
22031A0412,7.43,23.0
22031A0413,6.39,23.0
22031A0415,6.65,23.0
22031A0416,6.39,23.0
22031A0417,0.0,20.0
22031A0418,0.0,20.0
22031A0419,6.78,23.0
22031A0420,7.78,23.0
22031A0421,7.52,23.0
22031A0422,6.39,23.0
22031A0423,6.52,23.0
22031A0424,6.57,23.0
22031A0425,0.0,20.0
22031A0426,0.0,17.0
22031A0427,0.0,20.0
22031A0428,6.65,23.0
22031A0429,7.04,23.0
22031A0430,7.3,23.0
22031A0431,6.83,23.0
22031A0432,0.0,20.0
22031A0433,7.13,23.0
22031A0434,6.65,23.0
22031A0435,7.26,23.0
22031A0436,7.65,23.0
22031A0437,0.0,20.0
22031A0438,7.0,23.0
22031A0439,5.91,23.0
22031A0440,7.65,23.0
22031A0441,6.78,23.0
22031A0442,7.43,23.0
22031A0443,6.65,23.0
22031A0444,7.39,23.0
22031A0445,7.13,23.0
22031A0446,7.39,23.0
22031A0447,7.57,23.0
22031A0448,7.04,23.0
22031A0449,7.04,23.0
22031A0450,7.7,23.0
22031A0452,7.43,23.0
22031A0453,7.88,24.0
22031A0454,6.57,23.0
22031A0455,7.3,23.0
22031A0456,6.91,23.0
22031A0457,7.88,24.0
22031A0458,6.57,23.0
22031A0460,6.39,23.0
22031A0501,7.39,23.0
22031A0502,8.04,23.0
22031A0503,7.78,23.0
22031A0504,7.65,23.0
22031A0505,7.78,23.0
22031A0506,7.91,23.0
22031A0507,8.04,23.0
22031A0508,7.3,23.0
22031A0509,7.17,23.0
22031A0510,8.04,23.0
22031A0511,7.17,23.0
22031A0512,7.3,23.0
22031A0513,7.52,23.0
22031A0514,0.0,8.0
22031A0515,6.39,23.0
22031A0516,7.17,23.0
22031A0517,8.04,23.0
22031A0518,6.74,23.0
22031A0519,7.52,23.0
22031A0521,7.83,23.0
22031A0522,7.52,23.0
22031A0523,7.04,23.0
22031A0524,7.65,23.0
22031A0525,6.78,23.0
22031A0526,6.52,23.0
22031A0527,8.96,23.0
22031A0528,7.78,23.0
22031A0529,7.57,23.0
22031A0530,8.09,23.0
22031A0531,7.39,23.0
22031A0532,7.52,23.0
22031A0533,7.65,23.0
22031A0534,8.04,23.0
22031A0535,7.78,23.0
22031A0536,8.7,23.0
22031A0537,7.91,23.0
22031A0538,6.26,23.0
22031A0539,7.26,23.0
22031A0541,8.7,23.0
22031A0542,7.65,23.0
22031A0543,7.78,23.0
22031A0544,7.52,23.0
22031A0545,7.7,23.0
22031A0546,8.57,23.0
22031A0547,8.43,23.0
22031A0548,7.39,23.0
22031A0549,7.39,23.0
22031A0550,7.52,23.0
22031A0551,7.0,23.0
22031A0552,7.65,23.0
22031A0553,0.0,20.0
22031A0554,8.09,23.0
22031A0555,8.22,23.0
22031A0556,7.17,23.0
22031A0557,7.43,23.0
22031A0558,7.3,23.0
23035A0101,7.0,23.0
23035A0102,7.65,23.0
23035A0103,8.04,23.0
23035A0104,7.0,23.0
23035A0105,7.26,23.0
23035A0106,7.13,23.0
23035A0107,0.0,20.0
23035A0108,7.0,23.0
23035A0109,7.26,23.0
23035A0110,7.91,23.0
23035A0111,7.91,23.0
23035A0112,6.74,23.0
23035A0113,6.48,23.0
23035A0114,6.48,23.0
23035A0115,6.48,23.0
23035A0116,7.13,23.0
23035A0117,7.39,23.0
23035A0118,6.74,23.0
23035A0119,8.3,23.0
23035A0120,7.0,23.0
23035A0121,7.52,23.0
23035A0122,7.13,23.0
23035A0123,0.0,20.0
23035A0124,7.52,23.0
23035A0125,6.22,23.0
23035A0127,6.74,23.0
23035A0128,6.74,23.0
23035A0129,7.65,23.0
23035A0130,7.52,23.0
23035A0131,7.26,23.0
23035A0132,6.87,23.0
23035A0133,6.74,23.0
23035A0134,6.74,23.0
23035A0136,6.87,23.0
23035A0137,6.87,23.0
23035A0138,8.17,23.0
23035A0139,7.39,23.0
23035A0140,6.22,23.0
23035A0141,7.65,23.0
23035A0142,7.0,23.0
23035A0144,7.39,23.0
23035A0201,7.43,23.0
23035A0202,7.13,23.0
23035A0203,0.0,17.0
23035A0204,7.26,23.0
23035A0205,7.26,23.0
23035A0206,0.0,17.0
23035A0207,6.35,23.0
23035A0208,6.57,23.0
23035A0209,7.57,23.0
23035A0210,7.17,23.0
23035A0211,7.39,23.0
23035A0212,0.0,14.0
23035A0213,6.61,23.0
23035A0214,7.13,23.0
23035A0215,7.26,23.0
23035A0216,7.78,23.0
23035A0217,7.0,23.0
23035A0218,6.61,23.0
23035A0219,7.39,23.0
23035A0220,7.26,23.0
23035A0221,7.04,23.0
23035A0222,7.7,23.0
23035A0223,7.78,23.0
23035A0224,7.52,23.0
23035A0225,7.91,23.0
23035A0227,0.0,20.0
23035A0228,6.91,23.0
23035A0229,7.65,23.0
23035A0230,0.0,20.0
23035A0231,7.39,23.0
23035A0232,7.57,23.0
23035A0233,8.57,23.0
23035A0301,6.65,23.0
23035A0302,7.26,23.0
23035A0303,7.26,23.0
23035A0304,7.39,23.0
23035A0305,7.13,23.0
23035A0306,8.17,23.0
23035A0307,6.48,23.0
23035A0308,8.04,23.0
23035A0309,7.13,23.0
23035A0310,6.48,23.0
23035A0311,7.04,23.0
23035A0312,7.04,23.0
23035A0313,7.0,23.0
23035A0314,7.57,23.0
23035A0315,7.17,23.0
23035A0316,7.13,23.0
23035A0317,6.91,23.0
23035A0318,7.26,23.0
23035A0319,7.7,23.0
23035A0320,7.43,23.0
23035A0321,7.04,23.0
23035A0322,7.65,23.0
23035A0323,7.04,23.0
23035A0324,6.91,23.0
23035A0325,7.39,23.0
23035A0326,7.7,23.0
23035A0327,7.78,23.0
23035A0328,8.04,23.0
23035A0329,6.78,23.0
23035A0331,7.26,23.0
23035A0332,7.0,23.0
23035A0333,7.52,23.0
23035A0334,7.65,23.0
23035A0335,7.91,23.0
23035A0336,7.0,23.0
23035A0337,7.26,23.0
23035A0338,8.17,23.0
23035A0339,6.65,23.0
23035A0340,7.65,23.0
23035A0341,7.17,23.0
23035A0342,7.04,23.0
23035A0343,7.04,23.0
23035A0344,6.91,23.0
23035A0345,7.78,23.0
23035A0346,8.17,23.0
23035A0347,7.57,23.0
23035A0401,7.17,23.0
23035A0402,7.17,23.0
23035A0403,0.0,20.0
23035A0404,6.52,23.0
23035A0405,7.26,23.0
23035A0406,6.52,23.0
23035A0407,7.3,23.0
23035A0501,7.39,23.0
23035A0502,7.65,23.0
23035A0503,7.78,23.0
23035A0504,6.65,23.0
23035A0505,7.04,23.0
23035A0507,6.39,23.0
23035A0508,7.91,23.0
23035A0509,8.17,23.0
23035A0510,8.43,23.0
