ID,Average CGPA
22031A0527,9.01
23035A0233,8.94
22031A0506,8.81
23035A0325,8.8
22031A0548,8.74
22031A0517,8.67
22031A0547,8.64
22031A0536,8.62
23035A0103,8.62
23035A0327,8.55
