ID,SGPA_1,Credits_1
22031A0101,5.77,19.5
22031A0102,5.77,19.5
22031A0104,0.0,13.5
22031A0105,0.0,16.5
22031A0106,0.0,7.5
22031A0107,5.92,19.5
22031A0108,0.0,13.5
22031A0109,0.0,13.5
22031A0110,0.0,16.5
22031A0112,0.0,13.5
22031A0113,0.0,1.5
22031A0114,0.0,10.5
22031A0115,0.0,16.5
22031A0116,6.1,19.5
22031A0117,0.0,10.5
22031A0201,6.31,19.5
22031A0202,0.0,16.5
22031A0203,6.31,19.5
22031A0204,0.0,10.5
22031A0205,0.0,13.5
22031A0206,5.77,19.5
22031A0207,5.92,19.5
22031A0208,5.54,19.5
22031A0209,0.0,13.5
22031A0210,5.69,19.5
22031A0211,0.0,10.5
22031A0212,5.92,19.5
22031A0213,6.08,19.5
22031A0214,6.69,19.5
22031A0215,6.31,19.5
22031A0216,0.0,13.5
22031A0217,6.92,19.5
22031A0218,8.0,19.5
22031A0219,0.0,13.5
22031A0220,7.08,19.5
22031A0221,0.0,10.5
22031A0222,6.54,19.5
22031A0223,0.0,16.5
22031A0224,0.0,16.5
22031A0225,7.62,19.5
22031A0226,7.31,19.5
22031A0227,6.23,19.5
22031A0228,6.15,19.5
22031A0229,0.0,13.5
22031A0301,6.77,19.5
22031A0302,0.0,7.5
22031A0303,6.38,19.5
22031A0304,6.23,19.5
22031A0305,0.0,16.5
22031A0306,0.0,16.5
22031A0307,7.77,19.5
22031A0308,0.0,10.5
22031A0309,0.0,16.5
22031A0310,7.15,19.5
22031A0311,6.69,19.5
22031A0312,6.0,19.5
22031A0313,6.54,19.5
22031A0401,6.15,19.5
22031A0402,5.62,19.5
22031A0403,6.31,19.5
22031A0404,6.31,19.5
22031A0405,0.0,10.5
22031A0406,8.08,19.5
22031A0407,0.0,0.0
22031A0408,8.15,19.5
22031A0409,6.23,19.5
22031A0410,7.77,19.5
22031A0411,0.0,10.5
22031A0412,6.92,19.5
22031A0413,6.46,19.5
22031A0415,0.0,16.5
22031A0416,7.38,19.5
22031A0417,0.0,16.5
22031A0418,0.0,10.5
22031A0419,5.69,19.5
22031A0420,7.38,19.5
22031A0421,7.54,19.5
22031A0422,5.69,19.5
22031A0423,0.0,13.5
22031A0424,6.15,19.5
22031A0425,0.0,16.5
22031A0426,5.92,19.5
22031A0427,6.15,19.5
22031A0428,6.62,19.5
22031A0429,0.0,16.5
22031A0430,6.08,19.5
22031A0431,0.0,13.5
22031A0432,0.0,13.5
22031A0433,6.46,19.5
22031A0434,5.85,19.5
22031A0435,6.77,19.5
22031A0436,5.92,19.5
22031A0437,7.23,19.5
22031A0438,7.08,19.5
22031A0439,0.0,4.5
22031A0440,6.38,19.5
22031A0441,0.0,16.5
22031A0442,6.15,19.5
22031A0443,6.62,19.5
22031A0444,7.69,19.5
22031A0445,7.54,19.5
22031A0446,7.92,19.5
22031A0447,6.77,19.5
22031A0448,6.92,19.5
22031A0449,6.38,19.5
22031A0450,7.31,19.5
22031A0451,0.0,10.5
22031A0452,5.69,19.5
22031A0453,7.92,19.5
22031A0454,6.08,19.5
22031A0455,6.46,19.5
22031A0456,6.31,19.5
22031A0457,7.08,19.5
22031A0458,6.54,19.5
22031A0459,0.0,15.0
22031A0460,6.62,19.5
22031A0501,6.85,19.5
22031A0502,7.23,19.5
22031A0503,6.62,19.5
22031A0504,8.15,19.5
22031A0505,7.85,19.5
22031A0506,9.08,19.5
22031A0507,7.77,19.5
22031A0508,6.46,19.5
22031A0509,7.08,19.5
22031A0510,7.92,19.5
22031A0511,0.0,10.5
22031A0512,0.0,13.5
22031A0513,8.38,19.5
22031A0514,0.0,16.5
22031A0515,6.15,19.5
22031A0516,0.0,13.5
22031A0517,8.08,19.5
22031A0518,7.62,19.5
22031A0519,6.46,19.5
22031A0520,7.46,19.5
22031A0521,7.85,19.5
22031A0522,6.69,19.5
22031A0523,6.77,19.5
22031A0524,8.31,19.5
22031A0525,7.15,19.5
22031A0526,0.0,16.5
22031A0527,8.62,19.5
22031A0528,7.77,19.5
22031A0529,7.85,19.5
22031A0530,7.92,19.5
22031A0531,7.46,19.5
22031A0532,7.15,19.5
22031A0533,7.0,19.5
22031A0534,8.15,19.5
22031A0535,8.31,19.5
22031A0536,8.54,19.5
22031A0537,8.23,19.5
22031A0538,7.46,19.5
22031A0539,8.23,19.5
22031A0540,0.0,13.5
22031A0541,7.69,19.5
22031A0542,0.0,13.5
22031A0543,8.15,19.5
22031A0544,7.85,19.5
22031A0545,7.15,19.5
22031A0546,8.92,19.5
22031A0547,9.0,19.5
22031A0548,8.69,19.5
22031A0549,0.0,16.5
22031A0550,8.0,19.5
22031A0551,7.69,19.5
22031A0552,7.62,19.5
22031A0553,7.46,19.5
22031A0554,8.15,19.5
22031A0555,7.46,19.5
22031A0556,6.77,19.5
22031A0557,0.0,16.5
22031A0558,0.0,16.5
