ID,1-1,Credits_1-1,1-2,Credits_1-2,2-1,Credits_2-1,Total Credits,CGPA,Supplementary Appearances
24031A0251,0.0,14.5,0.0,14.5,0.0,17.0,46.0,0.0,*
24031A0252,6.82,19.5,0.0,17.5,6.35,20.0,57.0,0.0,
24031A0254,0.0,10.5,0.0,11.5,0.0,14.0,36.0,0.0,*
24031A0255,0.0,16.5,0.0,13.0,6.9,20.0,49.5,0.0,*
24031A0256,6.85,19.5,7.56,20.5,0.0,17.0,57.0,0.0,
24031A0302,7.07,20.5,6.85,19.5,7.0,20.0,60.0,6.98,
24031A0303,0.0,8.5,0.0,13.5,0.0,9.0,31.0,0.0,*
24031A0304,6.93,20.5,0.0,13.5,7.75,20.0,54.0,0.0,
24031A0305,0.0,17.5,7.82,19.5,8.5,20.0,57.0,0.0,*
24031A0306,0.0,17.5,0.0,7.5,0.0,17.0,42.0,0.0,*
24031A0307,6.34,20.5,7.56,19.5,8.25,20.0,60.0,7.37,
24031A0308,0.0,11.5,0.0,10.5,0.0,18.0,40.0,0.0,*
24031A0309,0.0,14.5,0.0,10.5,6.12,20.0,45.0,0.0,*
24031A0310,0.0,14.5,0.0,16.5,0.0,17.0,48.0,0.0,*
24031A0311,7.9,20.5,0.0,16.5,8.1,20.0,57.0,0.0,
24031A0312,6.73,20.5,6.77,19.5,6.82,20.0,60.0,6.77,
24031A0313,0.0,11.5,0.0,7.5,0.0,14.0,33.0,0.0,*
24031A0314,0.0,14.5,0.0,10.5,0.0,18.0,43.0,0.0,*
24031A0315,6.34,20.5,6.82,19.5,0.0,17.0,57.0,0.0,
24031A0316,6.27,20.5,6.82,19.5,8.15,20.0,60.0,7.08,*
24031A0317,0.0,5.5,0.0,10.5,0.0,12.0,28.0,0.0,*
24031A0318,0.0,14.5,0.0,10.5,0.0,16.0,41.0,0.0,
24031A0319,0.0,14.5,0.0,13.5,0.0,12.0,40.0,0.0,*
24031A0320,0.0,11.5,0.0,13.5,0.0,13.0,38.0,0.0,*
24031A0321,7.56,20.5,7.87,19.5,8.15,20.0,60.0,7.86,*
24031A0322,0.0,17.5,0.0,10.5,0.0,13.0,41.0,0.0,
24031A0323,0.0,8.5,0.0,13.5,0.0,15.0,37.0,0.0,*
24031A0324,6.39,20.5,0.0,16.5,7.08,20.0,57.0,0.0,
24031A0325,0.0,17.5,8.08,19.5,8.35,20.0,57.0,0.0,*
24031A0326,0.0,8.5,,,,,8.5,0.0,
24031A0327,0.0,11.5,0.0,13.5,0.0,17.0,42.0,0.0,*
24031A0328,0.0,14.5,,,,,14.5,0.0,
24031A0329,0.0,5.5,,,,,5.5,0.0,
24031A0330,7.54,20.5,6.54,19.5,7.25,20.0,60.0,7.12,*
24031A0331,0.0,14.5,0.0,13.5,,,28.0,0.0,*
24031A0332,6.07,20.5,6.03,19.5,0.0,13.0,53.0,0.0,
24031A0334,6.59,20.5,0.0,13.5,0.0,15.0,49.0,0.0,
24031A0335,5.44,20.5,0.0,5.5,0.0,10.0,36.0,0.0,
24031A0336,0.0,17.5,0.0,16.5,0.0,17.0,51.0,0.0,*
24031A0337,0.0,17.5,0.0,16.5,0.0,17.0,51.0,0.0,*
24031A0338,0.0,17.5,0.0,13.5,0.0,17.0,48.0,0.0,*
24031A0341,5.88,20.5,0.0,7.5,0.0,7.0,35.0,0.0,
24031A0342,0.0,14.5,0.0,15.5,0.0,12.0,42.0,0.0,*
24031A0343,0.0,8.5,0.0,13.5,0.0,15.0,37.0,0.0,*
24031A0344,0.0,5.5,0.0,10.5,6.8,20.0,36.0,0.0,*
24031A0345,6.41,20.5,0.0,13.5,0.0,18.0,52.0,0.0,
24031A0346,7.17,20.5,6.82,19.5,7.25,20.0,60.0,7.08,
24031A0347,6.1,20.5,0.0,13.5,0.0,17.0,51.0,0.0,
24031A0401,0.0,14.5,0.0,16.5,0.0,15.5,46.5,0.0,*
24031A0402,7.39,20.5,0.0,16.5,7.28,20.0,57.0,0.0,
24031A0403,0.0,17.5,0.0,13.5,0.0,17.0,48.0,0.0,*
