ID,1-1,Credits_1-1,1-2,Credits_1-2,2-1,Credits_2-1,2-2,Credits_2-2,3-1,Credits_3-1,3-2,Credits_3-2,4-1,Credits_4-1,4-2,Credits_4-2,Total Credits,CGPA,Supplementary Appearances
25031A0537,0.0,16.5,,,,,,,,,,,,,,,16.5,0.0,
25031A0538,8.64,19.5,,,,,,,,,,,,,,,19.5,8.64,
25031A0539,8.05,19.5,,,,,,,,,,,,,,,19.5,8.05,
25031A0540,7.41,19.5,,,,,,,,,,,,,,,19.5,7.41,
25031A0541,6.92,19.5,,,,,,,,,,,,,,,19.5,6.92,
25031A0542,0.0,13.5,,,,,,,,,,,,,,,13.5,0.0,
25031A0543,8.28,19.5,,,,,,,,,,,,,,,19.5,8.28,
25031A0544,8.28,19.5,,,,,,,,,,,,,,,19.5,8.28,
25031A0545,8.0,19.5,,,,,,,,,,,,,,,19.5,8.0,
25031A0546,7.64,19.5,,,,,,,,,,,,,,,19.5,7.64,
25031A0547,6.9,19.5,,,,,,,,,,,,,,,19.5,6.9,
25031A0548,0.0,16.5,,,,,,,,,,,,,,,16.5,0.0,
25031A0549,0.0,16.5,,,,,,,,,,,,,,,16.5,0.0,
25031A0550,7.64,19.5,,,,,,,,,,,,,,,19.5,7.64,
