ID,SGPA_3,Credits_3
23031A0101,6.8,20.0
23031A0102,0.0,17.0
23031A0103,6.72,20.0
23031A0104,0.0,17.0
23031A0105,0.0,8.0
23031A0106,6.98,20.0
23031A0107,7.2,20.0
23031A0108,7.35,20.0
23031A0109,6.12,20.0
23031A0110,7.5,20.0
23031A0111,0.0,14.0
23031A0112,6.25,20.0
23031A0113,7.18,20.0
23031A0114,6.5,20.0
23031A0115,6.28,20.0
23031A0116,6.48,20.0
23031A0117,5.88,20.0
23031A0118,0.0,11.0
23031A0120,7.12,20.0
23031A0121,7.35,20.0
23031A0122,7.05,20.0
23031A0123,6.8,20.0
23031A0124,0.0,17.0
23031A0125,0.0,14.0
23031A0126,6.4,20.0
23031A0127,7.42,20.0
23031A0128,6.65,20.0
23031A0129,7.42,20.0
23031A0130,0.0,11.0
23031A0201,0.0,17.0
23031A0202,6.6,20.0
23031A0203,5.9,20.0
23031A0204,0.0,3.5
23031A0205,7.38,20.0
23031A0206,6.98,20.0
23031A0207,6.12,20.0
23031A0208,0.0,14.0
23031A0209,0.0,17.0
23031A0210,7.7,20.0
23031A0211,8.35,20.0
23031A0212,0.0,17.0
23031A0213,7.28,20.0
23031A0214,6.05,20.0
23031A0215,6.68,20.0
23031A0216,6.68,20.0
23031A0217,0.0,17.0
23031A0218,0.0,17.0
23031A0219,0.0,8.0
23031A0220,6.2,20.0
23031A0221,5.68,20.0
23031A0222,6.0,20.0
23031A0223,6.3,20.0
23031A0224,6.42,20.0
23031A0225,7.22,20.0
23031A0226,7.15,20.0
23031A0227,5.78,20.0
23031A0228,6.62,20.0
23031A0229,6.15,20.0
23031A0230,0.0,11.0
23031A0231,8.2,20.0
23031A0232,0.0,14.0
23031A0233,6.22,20.0
23031A0234,6.45,20.0
23031A0235,7.45,20.0
23031A0237,6.3,20.0
23031A0238,0.0,9.5
23031A0240,7.18,20.0
23031A0241,7.05,20.0
23031A0242,0.0,17.0
23031A0243,7.6,20.0
23031A0244,6.15,20.0
23031A0245,0.0,17.0
23031A0246,6.3,20.0
23031A0247,0.0,17.0
23031A0248,6.6,20.0
23031A0301,7.65,20.0
23031A0303,7.38,20.0
23031A0304,0.0,17.0
23031A0305,0.0,17.0
23031A0306,0.0,9.0
23031A0307,6.98,20.0
23031A0308,6.15,20.0
23031A0309,6.68,20.0
23031A0310,6.18,20.0
23031A0312,6.38,20.0
23031A0313,0.0,17.0
23031A0314,0.0,17.0
23031A0315,6.68,20.0
23031A0317,6.98,20.0
23031A0318,0.0,17.0
23031A0319,6.48,20.0
23031A0320,0.0,17.0
23031A0321,7.38,20.0
23031A0322,6.62,20.0
23031A0324,8.1,20.0
23031A0325,7.55,20.0
23031A0326,6.48,20.0
23031A0327,6.6,20.0
23031A0328,6.98,20.0
23031A0329,6.55,20.0
23031A0330,6.78,20.0
23031A0331,6.42,20.0
23031A0332,6.6,20.0
23031A0401,6.62,20.0
23031A0402,7.65,20.0
23031A0403,6.5,20.0
23031A0404,7.3,20.0
23031A0405,6.25,20.0
23031A0406,7.28,20.0
23031A0407,6.28,20.0
23031A0408,6.6,20.0
23031A0409,6.52,20.0
23031A0410,6.5,20.0
23031A0411,8.35,20.0
23031A0412,0.0,17.0
23031A0413,0.0,14.0
23031A0414,7.1,20.0
23031A0415,8.38,20.0
23031A0416,7.35,20.0
23031A0417,7.42,20.0
23031A0418,6.5,20.0
23031A0419,0.0,17.0
23031A0421,6.72,20.0
23031A0422,6.72,20.0
23031A0423,7.42,20.0
23031A0424,0.0,14.0
23031A0425,0.0,11.0
23031A0426,6.65,20.0
23031A0428,6.65,20.0
23031A0429,8.1,20.0
23031A0430,6.8,20.0
23031A0431,0.0,17.0
23031A0432,6.05,20.0
23031A0433,6.75,20.0
23031A0434,7.65,20.0
23031A0435,7.8,20.0
23031A0437,6.2,20.0
23031A0438,7.05,20.0
23031A0439,6.95,20.0
23031A0440,7.38,20.0
23031A0441,5.98,20.0
23031A0442,7.25,20.0
23031A0443,0.0,17.0
23031A0444,8.02,20.0
23031A0445,7.68,20.0
23031A0446,7.45,20.0
23031A0447,7.58,20.0
23031A0448,6.42,20.0
23031A0449,6.38,20.0
23031A0450,8.55,20.0
23031A0451,6.52,20.0
23031A0452,6.28,20.0
23031A0453,7.78,20.0
23031A0454,7.55,20.0
23031A0455,6.58,20.0
23031A0456,8.43,20.0
23031A0457,7.9,20.0
23031A0458,0.0,8.0
23031A0459,6.72,20.0
23031A0501,6.92,20.0
23031A0502,7.02,20.0
23031A0503,6.4,20.0
23031A0504,8.65,20.0
23031A0505,6.6,20.0
23031A0506,6.38,20.0
23031A0507,0.0,12.0
23031A0508,7.02,20.0
23031A0509,5.75,20.0
23031A0510,6.35,20.0
23031A0511,6.88,20.0
23031A0512,6.42,20.0
23031A0513,7.5,20.0
23031A0514,7.18,20.0
23031A0515,8.32,20.0
23031A0516,8.3,20.0
23031A0517,6.9,20.0
23031A0518,6.32,20.0
23031A0519,7.85,20.0
23031A0520,0.0,14.0
23031A0521,7.1,20.0
23031A0522,6.9,20.0
23031A0523,0.0,17.0
23031A0524,8.02,20.0
23031A0525,7.4,20.0
23031A0526,8.2,20.0
23031A0527,7.85,20.0
23031A0529,7.28,20.0
23031A0530,8.8,20.0
23031A0531,7.95,20.0
23031A0532,8.28,20.0
23031A0533,0.0,17.0
23031A0534,8.1,20.0
23031A0535,6.58,20.0
23031A0536,7.0,20.0
23031A0537,7.5,20.0
23031A0538,8.48,20.0
23031A0539,7.18,20.0
23031A0540,7.25,20.0
23031A0541,7.9,20.0
23031A0542,0.0,9.0
23031A0543,7.85,20.0
23031A0544,7.02,20.0
23031A0545,7.78,20.0
23031A0546,7.88,20.0
23031A0547,6.72,20.0
23031A0548,8.4,20.0
23031A0549,8.52,20.0
23031A0550,6.65,20.0
23031A0551,7.4,20.0
23031A0552,6.55,20.0
23031A0553,8.8,20.0
23031A0554,6.9,20.0
24035A0101,6.98,20.0
24035A0102,7.28,20.0
24035A0103,7.42,20.0
24035A0104,8.95,20.0
24035A0105,8.25,20.0
24035A0106,7.72,20.0
24035A0107,7.88,20.0
24035A0108,8.25,20.0
24035A0109,7.2,20.0
24035A0110,7.95,20.0
24035A0111,7.98,20.0
24035A0112,6.98,20.0
24035A0113,7.58,20.0
