ID,SGPA_5,Credits_5
23031A0101,7.41,23.0
23031A0102,0.0,17.0
23031A0103,7.54,23.0
23031A0104,6.39,23.0
23031A0106,8.52,23.0
23031A0107,7.67,23.0
23031A0108,8.41,23.0
23031A0109,0.0,20.0
23031A0110,8.78,23.0
23031A0111,0.0,0.0
23031A0112,7.26,23.0
23031A0113,9.04,23.0
23031A0114,6.87,23.0
23031A0115,7.65,23.0
23031A0116,7.09,23.0
23031A0117,7.22,23.0
23031A0118,0.0,14.0
23031A0120,8.43,23.0
23031A0121,8.85,23.0
23031A0122,7.91,23.0
23031A0123,7.3,23.0
23031A0124,6.83,23.0
23031A0125,0.0,8.0
23031A0126,7.43,23.0
23031A0127,7.83,23.0
23031A0128,7.17,23.0
23031A0129,7.63,23.0
23031A0130,0.0,17.0
23031A0201,0.0,15.5
23031A0202,6.63,23.0
23031A0203,5.83,23.0
23031A0205,6.87,23.0
23031A0206,7.15,23.0
23031A0207,0.0,20.0
23031A0208,0.0,21.5
23031A0209,0.0,12.5
23031A0210,0.0,17.0
23031A0211,8.26,23.0
23031A0212,6.67,23.0
23031A0213,0.0,20.0
23031A0214,0.0,20.0
23031A0215,0.0,20.0
23031A0216,6.78,23.0
23031A0217,0.0,20.0
23031A0218,0.0,17.0
23031A0220,0.0,17.0
23031A0221,0.0,17.0
23031A0222,0.0,20.0
23031A0223,6.48,23.0
23031A0224,0.0,20.0
23031A0225,7.54,23.0
23031A0226,7.93,23.0
23031A0227,0.0,20.0
23031A0228,7.11,23.0
23031A0229,6.37,23.0
23031A0231,8.22,23.0
23031A0232,0.0,14.0
23031A0233,0.0,17.0
23031A0234,6.15,23.0
23031A0235,6.61,23.0
23031A0237,6.46,23.0
23031A0238,0.0,19.0
23031A0240,7.35,23.0
23031A0241,7.43,23.0
23031A0242,6.54,23.0
23031A0243,0.0,20.0
23031A0244,0.0,20.0
23031A0245,0.0,11.0
23031A0246,6.3,23.0
23031A0247,0.0,11.0
23031A0248,6.5,23.0
23031A0301,0.0,17.0
23031A0303,7.28,23.0
23031A0304,0.0,20.0
23031A0305,0.0,20.0
23031A0306,0.0,7.0
23031A0307,0.0,20.0
23031A0308,0.0,17.0
23031A0309,6.85,23.0
23031A0310,6.67,23.0
23031A0312,0.0,20.0
23031A0313,0.0,17.0
23031A0314,0.0,17.0
23031A0315,7.09,23.0
23031A0317,0.0,12.0
23031A0318,6.28,23.0
23031A0319,7.07,23.0
23031A0320,0.0,20.0
23031A0321,0.0,17.0
23031A0322,7.02,23.0
23031A0324,8.3,23.0
23031A0325,0.0,20.0
23031A0326,0.0,20.0
23031A0327,7.41,23.0
23031A0328,7.26,23.0
23031A0329,7.15,23.0
23031A0330,0.0,20.0
23031A0331,0.0,20.0
23031A0332,0.0,20.0
23031A0401,0.0,20.0
23031A0402,8.24,23.0
23031A0403,7.57,23.0
23031A0404,7.85,23.0
23031A0405,7.07,23.0
23031A0406,7.89,23.0
23031A0407,7.35,23.0
23031A0408,7.22,23.0
23031A0409,6.98,23.0
23031A0410,6.65,23.0
23031A0411,7.96,23.0
23031A0412,7.52,23.0
23031A0413,6.85,23.0
23031A0414,7.57,23.0
23031A0415,8.11,23.0
23031A0416,7.87,23.0
23031A0418,7.39,23.0
23031A0419,6.78,23.0
23031A0421,6.91,23.0
23031A0422,7.04,23.0
23031A0423,7.72,23.0
23031A0424,6.87,23.0
23031A0425,0.0,17.0
23031A0426,7.98,23.0
23031A0428,8.28,23.0
23031A0429,7.89,23.0
23031A0430,7.76,23.0
23031A0431,0.0,20.0
23031A0432,6.98,23.0
23031A0433,7.52,23.0
23031A0434,7.7,23.0
23031A0435,7.83,23.0
23031A0437,6.93,23.0
23031A0438,7.52,23.0
23031A0439,7.76,23.0
23031A0440,8.35,23.0
23031A0441,0.0,20.0
23031A0442,7.63,23.0
23031A0443,7.46,23.0
23031A0444,8.89,23.0
23031A0445,9.28,23.0
23031A0446,7.59,23.0
23031A0447,8.24,23.0
23031A0448,7.2,23.0
23031A0449,7.65,23.0
23031A0450,8.65,23.0
23031A0451,7.22,23.0
23031A0452,7.04,23.0
23031A0453,8.37,23.0
23031A0454,7.78,23.0
23031A0455,6.85,23.0
23031A0456,8.96,23.0
23031A0457,9.0,23.0
23031A0458,0.0,11.0
23031A0459,6.65,23.0
23031A0501,8.89,23.0
23031A0502,7.83,23.0
23031A0503,7.17,23.0
23031A0504,8.96,23.0
23031A0505,0.0,17.0
23031A0506,0.0,20.0
23031A0508,7.35,23.0
23031A0509,0.0,17.0
23031A0510,8.09,23.0
23031A0511,8.09,23.0
23031A0512,7.52,23.0
23031A0513,8.43,23.0
23031A0514,8.5,23.0
23031A0515,8.63,23.0
23031A0516,8.96,23.0
23031A0517,7.11,23.0
23031A0518,8.57,23.0
23031A0519,8.37,23.0
23031A0520,0.0,14.0
23031A0521,7.83,23.0
23031A0522,8.61,23.0
23031A0523,0.0,20.0
23031A0524,9.41,23.0
23031A0525,8.76,23.0
23031A0526,9.22,23.0
23031A0527,8.24,23.0
23031A0529,8.3,23.0
23031A0530,8.96,23.0
23031A0531,9.35,23.0
23031A0532,8.5,23.0
23031A0533,6.85,23.0
23031A0534,8.02,23.0
23031A0535,7.61,23.0
23031A0536,8.11,23.0
23031A0537,8.63,23.0
23031A0538,9.26,23.0
23031A0539,8.93,23.0
23031A0540,8.3,23.0
23031A0541,8.41,23.0
23031A0543,9.22,23.0
23031A0544,8.48,23.0
23031A0545,8.43,23.0
23031A0546,8.28,23.0
23031A0547,7.7,23.0
23031A0548,9.02,23.0
23031A0549,8.83,23.0
23031A0550,8.02,23.0
23031A0551,8.78,23.0
23031A0552,8.48,23.0
23031A0553,9.09,23.0
23031A0554,7.85,23.0
24035A0101,7.54,23.0
24035A0102,7.91,23.0
24035A0103,8.11,23.0
24035A0104,8.5,23.0
24035A0105,8.8,23.0
24035A0106,7.8,23.0
24035A0107,8.26,23.0
24035A0108,8.72,23.0
24035A0109,8.28,23.0
24035A0110,8.54,23.0
24035A0111,8.98,23.0
24035A0112,7.76,23.0
24035A0113,8.33,23.0
24035A0114,8.2,23.0
24035A0115,8.65,23.0
24035A0116,8.59,23.0
24035A0117,8.39,23.0
24035A0118,7.0,23.0
24035A0119,7.87,23.0
24035A0120,8.7,23.0
24035A0122,8.89,23.0
24035A0123,0.0,20.0
24035A0124,0.0,20.0
24035A0125,8.11,23.0
24035A0126,8.15,23.0
24035A0127,8.7,23.0
24035A0128,8.13,23.0
24035A0129,8.91,23.0
24035A0131,7.57,23.0
24035A0132,8.26,23.0
24035A0133,7.35,23.0
24035A0134,8.83,23.0
24035A0135,8.76,23.0
24035A0137,7.17,23.0
24035A0201,8.09,23.0
24035A0202,7.52,23.0
24035A0203,7.83,23.0
24035A0204,8.33,23.0
24035A0205,7.35,23.0
24035A0206,6.72,23.0
24035A0207,7.57,23.0
24035A0208,7.63,23.0
24035A0209,7.28,23.0
24035A0210,7.89,23.0
24035A0212,8.48,23.0
24035A0213,6.85,23.0
24035A0214,6.8,23.0
24035A0215,7.33,23.0
24035A0216,8.35,23.0
24035A0217,8.33,23.0
24035A0218,8.48,23.0
24035A0219,7.65,23.0
24035A0221,7.74,23.0
24035A0301,8.13,23.0
24035A0302,7.61,23.0
24035A0303,0.0,17.0
24035A0304,6.67,23.0
24035A0305,7.33,23.0
24035A0306,0.0,20.0
24035A0307,8.65,23.0
24035A0308,0.0,17.0
24035A0309,8.48,23.0
24035A0310,7.15,23.0
24035A0311,8.13,23.0
24035A0312,8.15,23.0
24035A0313,8.28,23.0
24035A0314,7.87,23.0
24035A0315,7.8,23.0
24035A0316,8.22,23.0
24035A0317,8.59,23.0
24035A0318,7.22,23.0
24035A0319,7.3,23.0
24035A0320,8.2,23.0
24035A0321,6.93,23.0
24035A0322,7.11,23.0
24035A0323,8.57,23.0
24035A0324,8.13,23.0
