ID,Average CGPA
23031A0504,9.27
24035A0127,8.88
23031A0553,8.88
23031A0530,8.88
24035A0104,8.88
24035A0412,8.82
24035A0129,8.76
24035A0218,8.73
23031A0548,8.71
23031A0524,8.71
