ID,SGPA_6,Credits_6
21031A0101,0.0,15.5
21031A0102,6.98,21.5
21031A0103,7.28,21.5
21031A0104,8.95,21.5
21031A0105,6.56,21.5
21031A0106,7.74,21.5
21031A0107,6.84,21.5
21031A0108,6.63,21.5
21031A0109,6.56,21.5
21031A0110,6.93,21.5
21031A0111,7.4,21.5
21031A0112,6.91,21.5
21031A0113,6.63,21.5
21031A0114,7.6,21.5
21031A0115,6.56,21.5
21031A0116,0.0,12.5
21031A0117,6.91,21.5
21031A0118,7.33,21.5
21031A0119,0.0,12.5
21031A0120,6.93,21.5
21031A0121,7.63,21.5
21031A0122,7.47,21.5
21031A0123,7.14,21.5
21031A0124,7.56,21.5
21031A0126,7.19,21.5
21031A0127,7.42,21.5
21031A0129,7.28,21.5
21031A0130,8.09,21.5
21031A0131,6.42,21.5
21031A0132,6.7,21.5
21031A0133,6.77,21.5
21031A0134,6.91,21.5
21031A0135,6.35,21.5
21031A0136,6.72,21.5
21031A0137,7.77,21.5
21031A0138,7.49,21.5
21031A0139,7.42,21.5
21031A0201,0.0,0.0
21031A0202,6.67,21.5
21031A0203,6.35,21.5
21031A0204,6.4,21.5
21031A0205,7.51,21.5
21031A0206,7.6,21.5
21031A0207,6.91,21.5
21031A0208,7.53,21.5
21031A0209,6.67,21.5
21031A0210,6.19,21.5
21031A0211,7.37,21.5
21031A0212,6.67,21.5
21031A0213,6.74,21.5
21031A0214,6.6,21.5
21031A0215,6.88,21.5
21031A0216,6.7,21.5
21031A0217,0.0,3.0
21031A0218,6.84,21.5
21031A0219,6.53,21.5
21031A0220,0.0,15.5
21031A0221,6.63,21.5
21031A0222,6.86,21.5
21031A0223,6.63,21.5
21031A0224,8.21,21.5
21031A0225,6.33,21.5
21031A0226,6.88,21.5
21031A0227,6.4,21.5
21031A0229,7.37,21.5
21031A0230,7.09,21.5
21031A0232,6.98,21.5
21031A0233,6.4,21.5
21031A0234,6.84,21.5
21031A0236,7.65,21.5
21031A0237,7.23,21.5
21031A0238,6.98,21.5
21031A0239,7.35,21.5
21031A0302,6.49,21.5
21031A0303,7.49,21.5
21031A0304,7.81,21.5
21031A0305,7.12,21.5
21031A0306,7.56,21.5
21031A0307,7.63,21.5
21031A0308,7.47,21.5
21031A0309,6.95,21.5
21031A0310,7.86,21.5
21031A0311,7.4,21.5
21031A0313,6.98,21.5
21031A0314,6.74,21.5
21031A0315,7.4,21.5
21031A0316,7.33,21.5
21031A0317,6.47,21.5
21031A0318,7.81,21.5
21031A0319,7.09,21.5
21031A0320,6.67,21.5
21031A0321,6.4,21.5
21031A0322,7.33,21.5
21031A0323,9.02,21.5
21031A0324,7.12,21.5
21031A0325,6.07,21.5
21031A0326,0.0,18.5
21031A0327,7.6,21.5
21031A0328,6.88,21.5
21031A0329,7.7,21.5
21031A0330,6.95,21.5
21031A0401,6.35,21.5
21031A0402,6.72,21.5
21031A0403,7.49,21.5
21031A0404,8.4,21.5
21031A0405,6.21,21.5
21031A0406,6.49,21.5
21031A0407,8.05,21.5
21031A0408,6.56,21.5
21031A0409,7.14,21.5
21031A0410,8.47,21.5
21031A0411,6.42,21.5
21031A0412,7.77,21.5
21031A0413,6.21,21.5
21031A0414,6.72,21.5
21031A0416,7.49,21.5
21031A0417,8.4,21.5
21031A0418,6.23,21.5
21031A0419,7.4,21.5
21031A0420,6.44,21.5
21031A0421,7.98,21.5
21031A0422,7.35,21.5
21031A0423,9.44,21.5
21031A0424,6.98,21.5
21031A0425,6.35,21.5
21031A0426,6.79,21.5
21031A0427,8.12,21.5
21031A0428,7.07,21.5
21031A0429,7.42,21.5
21031A0430,7.12,21.5
21031A0431,6.23,21.5
21031A0433,6.72,21.5
21031A0434,7.07,21.5
21031A0435,8.33,21.5
21031A0436,8.81,21.5
21031A0437,8.53,21.5
21031A0438,6.35,21.5
21031A0439,6.93,21.5
21031A0440,7.19,21.5
21031A0441,7.56,21.5
21031A0442,7.91,21.5
21031A0443,6.42,21.5
21031A0444,7.77,21.5
21031A0445,8.05,21.5
21031A0446,8.81,21.5
21031A0447,9.58,21.5
21031A0448,7.49,21.5
21031A0449,7.28,21.5
21031A0450,7.05,21.5
21031A0451,7.63,21.5
21031A0452,6.7,21.5
21031A0453,7.7,21.5
21031A0454,8.95,21.5
21031A0455,7.7,21.5
21031A0456,8.33,21.5
21031A0457,6.86,21.5
21031A0458,0.0,15.5
21031A0459,8.12,21.5
21031A0460,6.79,21.5
21031A0461,6.93,21.5
21031A0501,7.28,21.5
21031A0502,8.74,21.5
21031A0503,8.37,21.5
21031A0504,6.19,21.5
21031A0505,7.86,21.5
21031A0506,7.74,21.5
21031A0507,8.05,21.5
21031A0508,8.02,21.5
21031A0509,7.74,21.5
21031A0510,6.47,21.5
21031A0511,7.3,21.5
21031A0512,7.51,21.5
21031A0513,7.98,21.5
21031A0514,7.74,21.5
21031A0515,7.77,21.5
21031A0516,8.53,21.5
21031A0517,7.7,21.5
21031A0518,7.88,21.5
21031A0519,7.19,21.5
21031A0520,7.21,21.5
21031A0521,7.58,21.5
21031A0522,8.74,21.5
21031A0523,7.84,21.5
21031A0524,7.0,21.5
21031A0525,5.84,21.5
21031A0526,7.44,21.5
21031A0527,6.51,21.5
21031A0528,7.23,21.5
21031A0529,7.74,21.5
21031A0530,7.35,21.5
21031A0531,7.79,21.5
21031A0532,8.47,21.5
21031A0533,8.07,21.5
21031A0534,9.02,21.5
21031A0535,8.33,21.5
21031A0536,7.33,21.5
21031A0537,8.47,21.5
21031A0538,7.88,21.5
21031A0539,7.0,21.5
21031A0540,7.86,21.5
21031A0541,8.47,21.5
21031A0542,0.0,9.5
21031A0543,7.58,21.5
21031A0544,7.93,21.5
21031A0545,7.16,21.5
21031A0546,8.33,21.5
21031A0547,7.16,21.5
21031A0548,8.6,21.5
21031A0549,8.0,21.5
21031A0550,6.3,21.5
21031A0551,8.47,21.5
21031A0552,8.6,21.5
21031A0553,7.65,21.5
21031A0554,8.16,21.5
21031A0555,6.33,21.5
21031A0556,6.81,21.5
21031A0557,8.07,21.5
21031A0558,8.0,21.5
21031A0559,6.74,21.5
21031A0560,6.09,21.5
21031A0561,8.6,21.5
21031A0562,6.16,21.5
22035A0101,8.47,21.5
22035A0102,7.42,21.5
22035A0103,7.7,21.5
22035A0104,6.63,21.5
22035A0105,7.35,21.5
22035A0106,8.47,21.5
22035A0107,8.26,21.5
22035A0108,7.14,21.5
22035A0109,7.7,21.5
22035A0110,6.58,21.5
22035A0111,7.42,21.5
22035A0112,6.72,21.5
22035A0113,7.28,21.5
22035A0114,6.86,21.5
22035A0115,8.19,21.5
22035A0116,7.91,21.5
22035A0117,8.33,21.5
22035A0118,6.72,21.5
22035A0119,7.98,21.5
22035A0120,7.28,21.5
22035A0121,8.53,21.5
22035A0122,7.98,21.5
22035A0123,7.49,21.5
22035A0124,7.07,21.5
22035A0125,8.26,21.5
22035A0126,7.14,21.5
22035A0127,7.63,21.5
22035A0128,7.21,21.5
22035A0129,8.33,21.5
22035A0130,8.47,21.5
22035A0201,7.33,21.5
22035A0202,7.3,21.5
22035A0203,6.84,21.5
22035A0204,6.42,21.5
22035A0205,7.16,21.5
22035A0206,6.47,21.5
22035A0207,7.6,21.5
22035A0208,7.44,21.5
22035A0209,7.0,21.5
22035A0210,7.88,21.5
22035A0211,7.91,21.5
22035A0212,6.53,21.5
22035A0213,6.26,21.5
22035A0214,6.26,21.5
22035A0215,7.98,21.5
22035A0216,6.7,21.5
22035A0217,8.33,21.5
22035A0218,6.72,21.5
22035A0219,7.28,21.5
22035A0220,7.67,21.5
22035A0221,7.91,21.5
22035A0222,6.12,21.5
22035A0223,6.79,21.5
22035A0224,7.26,21.5
22035A0226,7.91,21.5
22035A0227,7.09,21.5
22035A0301,6.95,21.5
22035A0302,8.33,21.5
22035A0303,7.91,21.5
22035A0304,7.12,21.5
22035A0305,7.02,21.5
22035A0306,8.37,21.5
22035A0307,8.05,21.5
22035A0308,7.21,21.5
22035A0309,6.98,21.5
22035A0310,7.74,21.5
22035A0311,6.98,21.5
22035A0312,6.81,21.5
22035A0313,7.33,21.5
22035A0314,8.12,21.5
22035A0315,7.07,21.5
22035A0316,8.53,21.5
22035A0317,7.12,21.5
22035A0318,8.0,21.5
22035A0319,6.95,21.5
22035A0320,8.4,21.5
22035A0321,7.26,21.5
22035A0322,8.19,21.5
22035A0323,7.65,21.5
22035A0324,7.93,21.5
22035A0325,7.3,21.5
22035A0326,7.49,21.5
22035A0327,7.23,21.5
22035A0328,8.23,21.5
22035A0329,7.47,21.5
22035A0330,7.4,21.5
22035A0331,8.74,21.5
22035A0401,8.67,21.5
22035A0402,8.12,21.5
22035A0403,8.4,21.5
22035A0404,8.74,21.5
22035A0405,8.33,21.5
22035A0406,7.56,21.5
22035A0407,7.77,21.5
22035A0408,8.53,21.5
22035A0409,9.3,21.5
22035A0501,6.91,21.5
22035A0502,8.02,21.5
22035A0503,8.58,21.5
22035A0504,7.02,21.5
22035A0506,8.44,21.5
22035A0507,6.86,21.5
22035A0508,7.72,21.5
22035A0509,6.67,21.5
22035A0510,7.35,21.5
