ID,SGPA_2,Credits_2
21031A0101,0.0,13.5
21031A0102,5.77,19.5
21031A0103,6.69,19.5
21031A0104,7.77,19.5
21031A0105,0.0,16.5
21031A0106,6.31,19.5
21031A0107,6.38,19.5
21031A0108,5.54,19.5
21031A0109,6.46,19.5
21031A0110,5.77,19.5
21031A0111,6.08,19.5
21031A0112,6.46,19.5
21031A0113,6.08,19.5
21031A0114,6.69,19.5
21031A0115,6.38,19.5
21031A0116,0.0,16.5
21031A0117,6.23,19.5
21031A0118,0.0,18.0
21031A0119,0.0,9.0
21031A0120,0.0,16.5
21031A0121,7.23,19.5
21031A0122,6.46,19.5
21031A0123,6.08,19.5
21031A0124,7.23,19.5
21031A0125,0.0,9.0
21031A0126,6.15,19.5
21031A0127,6.15,19.5
21031A0128,0.0,7.5
21031A0129,0.0,18.0
21031A0130,6.92,19.5
21031A0131,0.0,15.0
21031A0132,6.08,19.5
21031A0133,5.92,19.5
21031A0134,0.0,18.0
21031A0135,6.15,19.5
21031A0136,6.23,19.5
21031A0137,6.08,19.5
21031A0138,6.15,19.5
21031A0139,6.23,19.5
21031A0201,5.85,19.5
21031A0202,0.0,16.5
21031A0203,5.85,19.5
21031A0204,0.0,16.5
21031A0205,7.69,19.5
21031A0206,7.92,19.5
21031A0207,6.85,19.5
21031A0208,7.77,19.5
21031A0209,5.92,19.5
21031A0210,6.23,19.5
21031A0211,6.92,19.5
21031A0212,6.38,19.5
21031A0213,6.77,19.5
21031A0214,7.08,19.5
21031A0215,6.15,19.5
21031A0216,6.38,19.5
21031A0217,0.0,10.5
21031A0218,6.38,19.5
21031A0219,6.15,19.5
21031A0220,0.0,16.5
21031A0221,6.31,19.5
21031A0222,7.08,19.5
21031A0223,6.92,19.5
21031A0224,7.77,19.5
21031A0225,6.0,19.5
21031A0226,6.31,19.5
21031A0227,6.08,19.5
21031A0228,0.0,0.0
21031A0229,6.31,19.5
21031A0230,6.85,19.5
21031A0231,0.0,10.5
21031A0232,7.92,19.5
21031A0233,7.0,19.5
21031A0234,7.0,19.5
21031A0235,0.0,0.0
21031A0236,5.92,19.5
21031A0237,6.31,19.5
21031A0238,6.62,19.5
21031A0239,7.92,19.5
21031A0301,0.0,3.0
21031A0302,5.77,19.5
21031A0303,7.38,19.5
21031A0304,7.31,19.5
21031A0305,0.0,16.5
