ID,SGPA_4,Credits_4
21031A0101,0.0,12.5
21031A0102,6.47,21.5
21031A0103,7.14,21.5
21031A0104,8.67,21.5
21031A0105,0.0,18.5
21031A0106,7.37,21.5
21031A0107,5.81,21.5
21031A0108,0.0,18.5
21031A0109,7.0,21.5
21031A0110,5.95,21.5
21031A0111,6.51,21.5
21031A0112,5.88,21.5
21031A0113,6.42,21.5
21031A0114,6.84,21.5
21031A0115,6.12,21.5
21031A0116,0.0,18.5
21031A0117,7.35,21.5
21031A0118,7.09,21.5
21031A0119,0.0,9.5
21031A0120,0.0,15.5
21031A0121,7.91,21.5
21031A0122,6.86,21.5
21031A0123,6.3,21.5
21031A0124,7.12,21.5
21031A0125,0.0,0.0
21031A0126,6.53,21.5
21031A0127,6.44,21.5
21031A0128,0.0,6.5
21031A0129,6.74,21.5
21031A0130,7.3,21.5
21031A0131,5.81,21.5
21031A0132,6.02,21.5
21031A0133,6.51,21.5
21031A0134,6.23,21.5
21031A0135,6.09,21.5
21031A0136,6.16,21.5
21031A0137,6.37,21.5
21031A0138,6.77,21.5
21031A0139,6.72,21.5
21031A0201,6.88,21.5
21031A0202,6.4,21.5
21031A0203,6.56,21.5
21031A0204,6.51,21.5
21031A0205,8.21,21.5
21031A0206,8.0,21.5
21031A0207,6.88,21.5
21031A0208,7.37,21.5
21031A0209,6.49,21.5
21031A0210,6.33,21.5
21031A0211,6.86,21.5
21031A0212,6.07,21.5
21031A0213,6.79,21.5
21031A0214,6.16,21.5
21031A0215,6.4,21.5
21031A0216,6.77,21.5
21031A0217,0.0,5.0
21031A0218,6.81,21.5
21031A0219,6.6,21.5
21031A0220,5.0,3.0
21031A0221,6.47,21.5
21031A0222,6.74,21.5
21031A0223,6.93,21.5
21031A0224,7.42,21.5
21031A0225,6.44,21.5
21031A0226,6.47,21.5
21031A0227,6.05,21.5
21031A0229,6.86,21.5
21031A0230,7.02,21.5
21031A0232,7.4,21.5
21031A0233,6.74,21.5
21031A0234,6.88,21.5
21031A0236,7.14,21.5
21031A0237,6.95,21.5
21031A0238,6.86,21.5
21031A0239,7.44,21.5
21031A0302,0.0,15.5
21031A0303,8.19,21.5
21031A0304,8.05,21.5
21031A0305,6.72,21.5
21031A0306,6.93,21.5
21031A0307,8.19,21.5
21031A0308,7.79,21.5
21031A0309,6.81,21.5
21031A0310,8.07,21.5
