ID,Average CGPA
21031A0534,9.02
21031A0552,8.97
21031A0323,8.83
21031A0423,8.81
22035A0106,8.78
22035A0316,8.66
21031A0447,8.62
21031A0502,8.61
21031A0522,8.61
21031A0561,8.6
