ID,SGPA_3,Credits_3
22035A0103,7.75,25.5
22035A0104,7.06,25.5
22035A0105,7.12,25.5
22035A0106,8.94,25.5
22035A0107,7.88,25.5
22035A0108,8.12,25.5
22035A0109,7.82,25.5
22035A0110,6.65,25.5
22035A0111,7.24,25.5
22035A0112,6.96,25.5
22035A0113,7.75,25.5
22035A0114,7.41,25.5
22035A0115,7.78,25.5
22035A0116,8.24,25.5
22035A0117,8.29,25.5
22035A0118,7.37,25.5
22035A0119,7.59,25.5
22035A0120,7.33,25.5
22035A0121,8.16,25.5
22035A0122,6.98,25.5
22035A0123,7.73,25.5
22035A0124,8.0,25.5
22035A0125,8.18,25.5
22035A0126,7.12,25.5
22035A0127,7.63,25.5
22035A0128,8.33,25.5
22035A0129,8.16,25.5
22035A0130,8.69,25.5
22035A0201,8.08,25.5
22035A0202,7.14,25.5
22035A0203,6.84,25.5
22035A0204,7.31,25.5
22035A0205,8.55,25.5
22035A0206,7.08,25.5
22035A0207,7.43,25.5
22035A0208,7.53,25.5
22035A0209,7.16,25.5
22035A0210,8.06,25.5
22035A0211,8.45,25.5
22035A0212,6.92,25.5
22035A0213,7.53,25.5
22035A0214,0.0,22.5
22035A0215,8.35,25.5
22035A0216,7.47,25.5
22035A0217,9.18,25.5
22035A0218,7.18,25.5
22035A0219,6.92,25.5
22035A0220,7.82,25.5
22035A0221,8.39,25.5
22035A0222,6.53,25.5
22035A0223,6.82,25.5
22035A0224,6.94,25.5
22035A0225,0.0,4.0
22035A0226,8.88,25.5
22035A0227,7.88,25.5
22035A0301,7.24,25.5
22035A0302,7.82,25.5
22035A0303,8.53,25.5
22035A0304,7.94,25.5
22035A0305,0.0,22.5
22035A0306,8.22,25.5
22035A0307,8.18,25.5
22035A0308,7.82,25.5
22035A0309,8.18,25.5
22035A0310,8.29,25.5
22035A0311,7.63,25.5
22035A0312,7.63,25.5
22035A0313,7.59,25.5
22035A0314,8.33,25.5
22035A0315,7.18,25.5
22035A0316,8.92,25.5
22035A0317,7.47,25.5
22035A0318,8.0,25.5
22035A0319,8.53,25.5
22035A0320,7.82,25.5
22035A0321,8.65,25.5
22035A0322,8.18,25.5
22035A0323,7.35,25.5
22035A0324,7.94,25.5
22035A0325,7.82,25.5
22035A0326,7.98,25.5
22035A0327,7.59,25.5
22035A0328,7.71,25.5
22035A0329,8.06,25.5
22035A0330,7.59,25.5
22035A0331,8.59,25.5
22035A0401,8.31,25.5
22035A0402,8.73,25.5
22035A0403,8.1,25.5
22035A0404,8.75,25.5
22035A0405,8.27,25.5
22035A0406,6.9,25.5
22035A0407,8.51,25.5
22035A0408,8.22,25.5
22035A0409,8.43,25.5
22035A0501,7.1,25.5
22035A0502,7.53,25.5
22035A0503,8.14,25.5
22035A0504,7.25,25.5
22035A0505,0.0,22.5
22035A0506,7.53,25.5
22035A0507,6.53,25.5
22035A0508,6.94,25.5
22035A0509,6.65,25.5
22035A0510,6.98,25.5
