ID,Subject Code,Subject Name,Grade,Credits
21031A0104,R203105M,DATABASE MANAGEMENT SYSTEMS (INTEGRATED,D,3.0
21031A0104,R203105ML,DATABASE MANAGEMENT SYSTEMS LAB (INTEGRA,B,1.5
21031A0239,R203105M,DATABASE MANAGEMENT SYSTEMS (INTEGRATED,E,3.0
21031A0239,R203105ML,DATABASE MANAGEMENT SYSTEMS LAB (INTEGRA,B,1.0
21031A0323,R203103Y,TRIBOLOGY,A+,4.0
21031A0445,R203105M,DATABASE MANAGEMENT SYSTEMS (INTEGRATED,ABSENT,0.0
21031A0445,R203105ML,DATABASE MANAGEMENT SYSTEMS LAB (INTEGRA,ABSENT,0.0
21031A0502,R203105P,STATISTICAL FOUNDATION FOR DATA SCIENCE,C,3.0
21031A0503,R203105P,STATISTICAL FOUNDATION FOR DATA SCIENCE,D,3.0
21031A0507,R203105P,STATISTICAL FOUNDATION FOR DATA SCIENCE,D,3.0
21031A0516,R203105P,STATISTICAL FOUNDATION FOR DATA SCIENCE,D,3.0
21031A0518,R203104U,DIGITAL ELECTRONICS,D,3.0
21031A0522,R203105P,STATISTICAL FOUNDATION FOR DATA SCIENCE,D,3.0
21031A0523,R203105P,STATISTICAL FOUNDATION FOR DATA SCIENCE,D,3.0
21031A0531,R203104U,DIGITAL ELECTRONICS,D,3.0
21031A0532,R203105P,STATISTICAL FOUNDATION FOR DATA SCIENCE,C,3.0
21031A0533,R203105P,STATISTICAL FOUNDATION FOR DATA SCIENCE,E,3.0
21031A0534,R203105P,STATISTICAL FOUNDATION FOR DATA SCIENCE,C,3.0
21031A0535,R203105S,PUBLIC KEY INFRASTRUCTURE AND TRUST MANA,D,3.0
21031A0536,R203105P,STATISTICAL FOUNDATION FOR DATA SCIENCE,ABSENT,0.0
21031A0541,R203105P,STATISTICAL FOUNDATION FOR DATA SCIENCE,D,3.0
21031A0544,R203105P,STATISTICAL FOUNDATION FOR DATA SCIENCE,C,3.0
21031A0546,R203105O,TEXT MINING AND TIME SERIES ANALYSIS,C,3.0
21031A0551,R203105P,STATISTICAL FOUNDATION FOR DATA SCIENCE,ABSENT,0.0
21031A0552,R203105P,STATISTICAL FOUNDATION FOR DATA SCIENCE,B,3.0
21031A0554,R203105P,STATISTICAL FOUNDATION FOR DATA SCIENCE,E,3.0
21031A0561,R203105S,PUBLIC KEY INFRASTRUCTURE AND TRUST MANA,E,3.0
22035A0101,R203105M,DATABASE MANAGEMENT SYSTEMS (INTEGRATED,D,3.0
22035A0101,R203105ML,DATABASE MANAGEMENT SYSTEMS LAB (INTEGRA,C,1.5
22035A0102,R203101P,REPAIR & RETRO-FILLING OF BUILDINGS,D,3.0
22035A0106,R203101P,REPAIR & RETRO-FILLING OF BUILDINGS,B,3.0
22035A0116,R203101P,REPAIR & RETRO-FILLING OF BUILDINGS,C,3.0
22035A0117,R203101P,REPAIR & RETRO-FILLING OF BUILDINGS,C,3.0
22035A0121,R203101P,REPAIR & RETRO-FILLING OF BUILDINGS,C,3.0
22035A0125,R203101P,REPAIR & RETRO-FILLING OF BUILDINGS,B,3.0
22035A0128,R203101P,REPAIR & RETRO-FILLING OF BUILDINGS,D,3.0
22035A0129,R203101P,REPAIR & RETRO-FILLING OF BUILDINGS,C,3.0
22035A0130,R203101P,REPAIR & RETRO-FILLING OF BUILDINGS,B,3.0
22035A0215,R203105M,DATABASE MANAGEMENT SYSTEMS (INTEGRATED,B,3.0
22035A0215,R203105ML,DATABASE MANAGEMENT SYSTEMS LAB (INTEGRA,B,1.0
22035A0221,R203105M,DATABASE MANAGEMENT SYSTEMS (INTEGRATED,D,3.0
22035A0221,R203105ML,DATABASE MANAGEMENT SYSTEMS LAB (INTEGRA,B,1.0
22035A0303,R203103Y,TRIBOLOGY,A,4.0
22035A0307,R203103Y,TRIBOLOGY,B,4.0
22035A0314,R203103Y,TRIBOLOGY,B,4.0
22035A0316,R203103Y,TRIBOLOGY,B,4.0
22035A0321,R203103Y,TRIBOLOGY,B,4.0
22035A0322,R203103Y,TRIBOLOGY,B,4.0
22035A0402,R203105M,DATABASE MANAGEMENT SYSTEMS (INTEGRATED,C,3.0
22035A0402,R203105ML,DATABASE MANAGEMENT SYSTEMS LAB (INTEGRA,B,1.0
22035A0408,R203105M,DATABASE MANAGEMENT SYSTEMS (INTEGRATED,C,3.0
22035A0408,R203105ML,DATABASE MANAGEMENT SYSTEMS LAB (INTEGRA,A,1.0
