ID,Subject Code,Subject Name,Grade,Credits
22031A0218,R203202I,HVDC TRANSMISSION,E,3
22031A0406,R203205N,COMPUTATIONAL THINKING,D,3
22031A0408,R203205N,COMPUTATIONAL THINKING,C,3
22031A0453,R203205N,COMPUTATIONAL THINKING,D,3
22031A0457,R203205N,COMPUTATIONAL THINKING,D,3
22031A0505,R203204U,PRINCIPLES OF COMMUNICATION,F,0
22031A0506,R203205P,NATURAL LANGUAGE PROCESSING,D,3
22031A0510,R203205O,MINING MASSIVE DATA SETS,B,3
22031A0513,R203205Y,INFORMATION SECURITY ANALYSIS AND AUDIT,F,0
22031A0521,R203205O,MINING MASSIVE DATA SETS,C,3
22031A0524,R203204U,PRINCIPLES OF COMMUNICATION,E,3
22031A0527,R203205O,MINING MASSIVE DATA SETS,A+,3
22031A0536,R203205O,MINING MASSIVE DATA SETS,A+,3
22031A0543,R203205P,NATURAL LANGUAGE PROCESSING,B,3
22031A0544,R203204U,PRINCIPLES OF COMMUNICATION,E,3
22031A0546,R203205P,NATURAL LANGUAGE PROCESSING,A,3
22031A0548,R203205P,NATURAL LANGUAGE PROCESSING,D,3
22031A0552,R203205P,NATURAL LANGUAGE PROCESSING,D,3
23035A0202,R203202I,HVDC TRANSMISSION,E,3
23035A0215,R203202I,HVDC TRANSMISSION,D,3
23035A0219,R203202I,HVDC TRANSMISSION,D,3
23035A0231,R203202I,HVDC TRANSMISSION,E,3
23035A0232,R203202I,HVDC TRANSMISSION,F,0
23035A0233,R203202I,HVDC TRANSMISSION,E,3
23035A0322,R203203L,ELECTRIC & HYBRID VEHICLES,A,3
23035A0325,R203203L,ELECTRIC & HYBRID VEHICLES,D,3
23035A0327,R203203L,ELECTRIC & HYBRID VEHICLES,ABSENT,0
23035A0331,R203203L,ELECTRIC & HYBRID VEHICLES,B,3
23035A0334,R203203L,ELECTRIC & HYBRID VEHICLES,B,3
23035A0340,R203203L,ELECTRIC & HYBRID VEHICLES,ABSENT,0
23035A0346,R203203L,ELECTRIC & HYBRID VEHICLES,A,3
23035A0501,R203205AA,NETWORK CODING,D,3
23035A0502,R203204U,PRINCIPLES OF COMMUNICATION,D,3
