ID,Subject Code,Subject Name,Grade,Credits
22031A0115,R2031012,DESIGN AND DRAWING OF REINFORCED CONCRET,F,0
22031A0202,R2031021,POWER SYSTEMS-II,F,0
22031A0202,R2031023,CONTROL SYSTEMS,F,0
22031A0202,R2031024,CONTROL SYSTEMS LAB,D,1.5
22031A0203,R2031022,POWER ELECTRONICS,E,3
22031A0203,R2031023,CONTROL SYSTEMS,F,0
22031A0203,R203102B,UTILIZATION OF ELECTRICAL ENERGY,F,0
22031A0203,R203105G,OBJECT ORIENTED PROGRAMMING THROUGH JAVA,AB,0
22031A0205,R2031021,POWER SYSTEMS-II,C,3
22031A0210,R2031021,POWER SYSTEMS-II,F,0
22031A0210,R203102B,UTILIZATION OF ELECTRICAL ENERGY,F,0
22031A0213,R2031024,CONTROL SYSTEMS LAB,D,1.5
22031A0219,R2031021,POWER SYSTEMS-II,F,0
22031A0219,R2031022,POWER ELECTRONICS,F,0
22031A0219,R2031024,CONTROL SYSTEMS LAB,D,1.5
22031A0220,R2031022,POWER ELECTRONICS,B,3
22031A0223,R2031023,CONTROL SYSTEMS,E,3
22031A0224,R2031021,POWER SYSTEMS-II,D,3
22031A0224,R2031022,POWER ELECTRONICS,E,3
22031A0224,R2031023,CONTROL SYSTEMS,F,0
22031A0224,R2031024,CONTROL SYSTEMS LAB,E,1.5
22031A0224,R203105G,OBJECT ORIENTED PROGRAMMING THROUGH JAVA,F,0
22031A0227,R2031023,CONTROL SYSTEMS,F,0
22031A0306,R203103A,FINITE ELEMENT METHODS,F,0
22031A0308,R203102F,RENEWABLE ENERGY SOURCES,E,3
22031A0308,R2031031,THERMAL ENGINEERING-II,F,0
22031A0308,R2031032,DESIGN OF MACHINE MEMBERS-I,F,0
22031A0310,R2031033,"MACHINING, MACHINE TOOLS & METROLOGY",E,3
22031A0312,R203103A,FINITE ELEMENT METHODS,F,0
22031A0402,R2031041,ANALOG ICS AND APPLICATIONS,F,0
22031A0402,R2031042,ELECTROMAGNETIC WAVES AND TRANSMISSION L,F,0
22031A0402,R2031043,DIGITAL COMMUNICATIONS,F,0
22031A0405,R2031042,ELECTROMAGNETIC WAVES AND TRANSMISSION L,F,0
22031A0405,R2031046,DATA STRUCTURES USING JAVA LAB,D,2
22031A0413,R2031042,ELECTROMAGNETIC WAVES AND TRANSMISSION L,E,3
22031A0417,R2031041,ANALOG ICS AND APPLICATIONS,E,3
22031A0417,R2031042,ELECTROMAGNETIC WAVES AND TRANSMISSION L,E,3
22031A0418,R2031042,ELECTROMAGNETIC WAVES AND TRANSMISSION L,F,0
22031A0418,R203105F,DATA STRUCTURES,AB,0
22031A0422,R2031042,ELECTROMAGNETIC WAVES AND TRANSMISSION L,F,0
22031A0424,R2031041,ANALOG ICS AND APPLICATIONS,F,0
22031A0424,R2031042,ELECTROMAGNETIC WAVES AND TRANSMISSION L,F,0
22031A0426,R2031042,ELECTROMAGNETIC WAVES AND TRANSMISSION L,F,0
22031A0427,R2031046,DATA STRUCTURES USING JAVA LAB,B,2
22031A0428,R203105F,DATA STRUCTURES,C,3
22031A0430,R2031042,ELECTROMAGNETIC WAVES AND TRANSMISSION L,F,0
22031A0434,R2031042,ELECTROMAGNETIC WAVES AND TRANSMISSION L,E,3
22031A0439,R2031041,ANALOG ICS AND APPLICATIONS,E,3
22031A0439,R203105F,DATA STRUCTURES,E,3
22031A0441,R2031041,ANALOG ICS AND APPLICATIONS,E,3
22031A0441,R2031042,ELECTROMAGNETIC WAVES AND TRANSMISSION L,F,0
22031A0447,R2031046,DATA STRUCTURES USING JAVA LAB,B,2
22031A0449,R2031041,ANALOG ICS AND APPLICATIONS,D,3
22031A0454,R2031041,ANALOG ICS AND APPLICATIONS,F,0
22031A0458,R2031041,ANALOG ICS AND APPLICATIONS,E,3
22031A0458,R203105F,DATA STRUCTURES,E,3
22031A0511,R203104I,FUNDAMENTALS OF MICROPROCESSORS AND MICR,AB,0
22031A0514,R203104I,FUNDAMENTALS OF MICROPROCESSORS AND MICR,F,0
22031A0514,R2031051,COMPUTER NETWORKS,F,0
22031A0514,R2031052,DESIGN AND ANALYSIS OF ALGORITHMS,F,0
22031A0514,R2031053,DATA WAREHOUSING AND DATA MINING,F,0
22031A0514,R203105B,SOFTWARE PROJECT MANAGEMENT,F,0
22031A0515,R203104I,FUNDAMENTALS OF MICROPROCESSORS AND MICR,F,0
22031A0515,R203105B,SOFTWARE PROJECT MANAGEMENT,E,3
22031A0519,R203104I,FUNDAMENTALS OF MICROPROCESSORS AND MICR,E,3
22031A0525,R203104I,FUNDAMENTALS OF MICROPROCESSORS AND MICR,F,0
22031A0525,R2031052,DESIGN AND ANALYSIS OF ALGORITHMS,E,3
22031A0525,R2031053,DATA WAREHOUSING AND DATA MINING,D,3
22031A0526,R203104I,FUNDAMENTALS OF MICROPROCESSORS AND MICR,AB,0
22031A0542,R203104I,FUNDAMENTALS OF MICROPROCESSORS AND MICR,AB,0
22031A0557,R203104I,FUNDAMENTALS OF MICROPROCESSORS AND MICR,D,3
23035A0108,R203105F,DATA STRUCTURES,D,3
23035A0112,R203105F,DATA STRUCTURES,D,3
23035A0114,R203105F,DATA STRUCTURES,D,3
23035A0118,R203105F,DATA STRUCTURES,E,3
23035A0122,R203105F,DATA STRUCTURES,D,3
23035A0131,R203105F,DATA STRUCTURES,D,3
23035A0132,R2031011,STRUCTURAL ANALYSIS,E,3
23035A0140,R203105F,DATA STRUCTURES,E,3
23035A0142,R203105F,DATA STRUCTURES,D,3
23035A0203,R203102B,UTILIZATION OF ELECTRICAL ENERGY,AB,0
23035A0207,R203105G,OBJECT ORIENTED PROGRAMMING THROUGH JAVA,F,0
23035A0210,R203105G,OBJECT ORIENTED PROGRAMMING THROUGH JAVA,D,3
23035A0212,R203105G,OBJECT ORIENTED PROGRAMMING THROUGH JAVA,E,3
23035A0220,R203105G,OBJECT ORIENTED PROGRAMMING THROUGH JAVA,D,3
23035A0221,R203105G,OBJECT ORIENTED PROGRAMMING THROUGH JAVA,D,3
23035A0224,R203105G,OBJECT ORIENTED PROGRAMMING THROUGH JAVA,D,3
23035A0227,R2031021,POWER SYSTEMS-II,E,3
23035A0227,R203105G,OBJECT ORIENTED PROGRAMMING THROUGH JAVA,F,0
23035A0230,R2031023,CONTROL SYSTEMS,E,3
23035A0310,R2031032,DESIGN OF MACHINE MEMBERS-I,E,3
23035A0315,R2031031,THERMAL ENGINEERING-II,F,0
23035A0339,R203103A,FINITE ELEMENT METHODS,AB,0
23035A0403,R2031043,DIGITAL COMMUNICATIONS,AB,0
23035A0403,R2031046,DATA STRUCTURES USING JAVA LAB,C,2
23035A0403,R203105F,DATA STRUCTURES,E,3
23035A0404,R2031042,ELECTROMAGNETIC WAVES AND TRANSMISSION L,F,0
23035A0405,R2031046,DATA STRUCTURES USING JAVA LAB,A,2
23035A0507,R203104I,FUNDAMENTALS OF MICROPROCESSORS AND MICR,E,3
